TypeID 	Mean Vector 	Cov Matrix
0 	[17.688573723264163, -8.160766121935373, -20.136142258938012, 14.527861369384517, 9.946407045008652] 	[[676.8787736204072, 0, 0, 36.164967109463745, 0], [0, 65.97698352369142, 0, 2.0887732322020991, 8.9092441836622971], [0, 0, 188.4860549415362, 0, 16.344857560275205], [36.164967109463745, 2.0887732322020991, 0, 444.2907289781936, 0], [0, 8.9092441836622971, 16.344857560275205, 0, 218.19304960540254]]
1 	[3.195654371121236, -14.701792661425866, 14.531445022933205, -2.7623497458920525, -5.9330486035300805] 	[[22.31818756013023, 0, 0, 3.4263081030351139, 3.2039667318411231], [0, 88.42638942673018, 0, 0, 0], [0, 0, 336.1516627103778, 0, 0], [3.4263081030351139, 0, 0, 8.786762959124832, 0], [3.2039667318411231, 0, 0, 0, 28.111442345239084]]
2 	[6.541882527756194, 3.093309794107661, -9.537233292200927, 14.43121801806015, -13.491940491447394] 	[[45.98965570259153, 0, 0, 0.61729320979255997, 0], [0, 6.345405824029289, 0, 0, 0.13060245127345327], [0, 0, 76.62329713330892, 0, 0], [0.61729320979255997, 0, 0, 125.27941191344597, 41.334100603546844], [0, 0.13060245127345327, 0, 41.334100603546844, 375.85492745620024]]
3 	[17.565592831446658, 1.0468794577773508, -20.022619135096726, -10.82990658958589, -11.882568227360316] 	[[184.35434669623393, 0, 47.597338395474459, 0, 20.807067917273759], [0, 1.5155868684707492, 0, 0, 0], [47.597338395474459, 0, 368.17778080841293, 58.135574697395356, 32.295585414284361], [0, 0, 58.135574697395356, 169.90119873755074, 28.426648345562523], [20.807067917273759, 0, 32.295585414284361, 28.426648345562523, 117.40082409797465]]
4 	[-13.63188879151077, -6.076937916116238, 13.522961545953144, -13.890902136938553, 3.474548501030199] 	[[102.94148691892877, 9.4987200780493097, 0, 0.96051325091918671, 0], [9.4987200780493097, 29.971690204261254, 0, 0, 0], [0, 0, 360.3627254615144, 9.1629847113598828, 0], [0.96051325091918671, 0, 9.1629847113598828, 138.20775939277, 0], [0, 0, 0, 0, 17.371533035899706]]
5 	[16.501355541106328, -2.6153038051062083, -11.77307354440633, -14.346960146456436, 16.63035025936525] 	[[191.09521965185792, 0, 0, 34.162792749907716, 41.100063056041357], [0, 2.4818417513150743, 0, 0, 0], [0, 0, 138.65449904324234, 0, 43.120173426630174], [34.162792749907716, 0, 0, 454.6394415407919, 0], [41.100063056041357, 0, 43.120173426630174, 0, 263.23775580176914]]
6 	[15.049288591655788, -3.355098353065621, 15.0225895535754, -8.53829988187956, -20.316285253264127] 	[[366.66584482131384, 2.1347831292675501, 0, 25.849197235233976, 0], [2.1347831292675501, 15.739309490194627, 0, 0, 0], [0, 0, 152.85239706848117, 3.2042652942769423, 0], [25.849197235233976, 0, 3.2042652942769423, 78.18718195183027, 0], [0, 0, 0, 0, 272.09801509311006]]
7 	[-20.095328220129584, -2.104126424750895, -7.516136000473413, -9.390839469774711, -12.541371592274341] 	[[146.26282203568002, 0, 0, 1.6886956284086825, 0], [0, 8.999159663345916, 0.8190357582543748, 0, 0], [0, 0.8190357582543748, 44.75309000621168, 0, 0], [1.6886956284086825, 0, 0, 62.81271484220283, 0], [0, 0, 0, 0, 138.42215304721813]]
8 	[-9.94040865264893, -3.9300192388657145, -10.142462587691508, -7.9557589009729615, -9.33867455162345] 	[[204.3890764516722, 0, 25.681664662171364, 17.444481109214223, 0], [0, 18.668678344233168, 13.139955252758046, 0, 3.5476906138966058], [25.681664662171364, 13.139955252758046, 173.28397882122943, 14.540169300003651, 0], [17.444481109214223, 0, 14.540169300003651, 30.329874304251366, 5.396917167280689], [0, 3.5476906138966058, 0, 5.396917167280689, 93.86113225004439]]
9 	[19.5878739843766, 15.335438824066252, 9.59813989715462, 4.09267360390065, 9.409727905824194] 	[[248.67149878501633, 0, 0, 0, 0], [0, 298.06318095208, 31.897677848653686, 0, 0], [0, 31.897677848653686, 153.96991108042207, 0, 21.390561984070903], [0, 0, 0, 13.665941967291635, 7.6862946841245927], [0, 0, 21.390561984070903, 7.6862946841245927, 183.57208071087584]]
10 	[-5.677423280733537, -4.943301814610432, -0.3698930408948229, 7.792670280498818, 8.618621214081848] 	[[21.513431299570467, 0, 0.02597886638592134, 3.037935137418855, 6.744359176948854], [0, 19.474283022911813, 0, 2.6469963394979876, 0], [0.02597886638592134, 0, 0.09290790907272818, 0.5256343643140069, 0], [3.037935137418855, 2.6469963394979876, 0.5256343643140069, 55.506357399582505, 10.714028071844425], [6.744359176948854, 0, 0, 10.714028071844425, 66.01327531581886]]
11 	[20.22475172062765, -1.3442106240835479, -20.968230760203376, -13.688003195507926, -5.573998202600947] 	[[292.7962762169613, 0.34587100906532231, 50.31204473269225, 39.310414722158391, 0], [0.34587100906532231, 1.852947616444924, 3.8921419409638158, 0.90601533132583467, 1.2496246334735663], [50.31204473269225, 3.8921419409638158, 358.5429645924002, 0, 0], [39.310414722158391, 0.90601533132583467, 0, 103.09447424278085, 4.1144978545858191], [0, 1.2496246334735663, 0, 4.1144978545858191, 16.803653957584945]]
12 	[-20.177431630426007, -5.6512965774290755, -17.97894841958771, -16.39544056263911, -5.139404546259785] 	[[378.29125733987473, 0.38553397974466758, 0, 0, 0], [0.38553397974466758, 29.10120953391425, 0, 0, 0], [0, 0, 577.1166619695588, 51.009107613160765, 0], [0, 0, 51.009107613160765, 147.3497199991844, 0], [0, 0, 0, 0, 28.10224968378116]]
13 	[0.3126310734667399, -9.38054134404553, 13.321987704948292, -12.517520189802259, -0.6739084688298185] 	[[0.15133700301494402, 0, 0, 0, 0], [0, 88.45753419424818, 0, 0, 0], [0, 0, 188.7942813844225, 0, 0], [0, 0, 0, 79.08425124795264, 0], [0, 0, 0, 0, 0.39649978394543944]]
14 	[13.081352419969214, 9.870981826302824, 2.187665879493281, -10.05916291968522, -8.8368362589746] 	[[71.03801878848272, 8.574361340591695, 1.0202572897304214, 6.4378613705331205, 0], [8.574361340591695, 68.5131940508229, 0, 0, 3.6924390683601716], [1.0202572897304214, 0, 7.32466468146191, 0, 0], [6.4378613705331205, 0, 0, 41.67345063744046, 0], [0, 3.6924390683601716, 0, 0, 130.97135756575557]]
15 	[-14.980698936252793, -6.960278347680626, -1.7074698505936539, -3.1126433452328826, 19.720165336026497] 	[[80.94421907673035, 0, 0, 8.8002486411368768, 7.222832917465543], [0, 89.66164517421232, 0, 0, 0], [0, 0, 1.6965334699922259, 0, 0], [8.8002486411368768, 0, 0, 20.385197091903212, 0], [7.222832917465543, 0, 0, 0, 159.77774722392226]]
