TypeID 	Mean Vector 	Cov Matrix
0 	[-14.546582742438805, 3.952868764691175, -1.7183777656395307, 14.37852908426057, 0.8660224900356255] 	[[256.55565757958686, 1.4500650625732083, 1.940375310741814, 80.075670812154755, 2.4664937678607037], [1.4500650625732083, 14.721188928065821, 0.87610073555741419, 15.107041310336534, 0.32356519687352941], [1.940375310741814, 0.87610073555741419, 3.9532929191768083, 7.4314965069680365, 0.12402827635664358], [80.075670812154755, 15.107041310336534, 7.4314965069680365, 413.03269156958805, 6.4660919166690105], [2.4664937678607037, 0.32356519687352941, 0.12402827635664358, 6.4660919166690105, 1.677346331271786]]
1 	[10.922056262382473, -0.9972089425417465, 19.998023329747255, -14.68346713642255, 4.664377889442207] 	[[62.547679401077886, 0.68024101535451487, 8.7169725130116174, 18.909929712980635, 0.26703581490397937], [0.68024101535451487, 1.0210739527714925, 4.2952873670932084, 3.3838458889606295, 0.82995694226598815], [8.7169725130116174, 4.2952873670932084, 627.5332391301017, 63.104865801252195, 8.9956714415901242], [18.909929712980635, 3.3838458889606295, 63.104865801252195, 192.88561342974273, 9.6676706694201915], [0.26703581490397937, 0.82995694226598815, 8.9956714415901242, 9.6676706694201915, 34.91853417344561]]
2 	[19.325422328197043, -4.170333664855615, 9.153729741384005, 20.533003221262028, 7.218519046240772] 	[[586.2241705961852, 0.8781194482456931, 16.648032776173803, 80.679320811215575, 36.92186324768717], [0.8781194482456931, 6.581200621852187, 4.4370991519364011, 2.9692612332963897, 3.4005606209618935], [16.648032776173803, 4.4370991519364011, 95.15350557909636, 64.472662637631288, 7.4667560137928746], [80.679320811215575, 2.9692612332963897, 64.472662637631288, 808.4641484528947, 52.925540293395827], [36.92186324768717, 3.4005606209618935, 7.4667560137928746, 52.925540293395827, 57.3028809895963]]
3 	[-15.346791699934537, -11.114142985588318, -1.2765439497501916, -5.711721823842204, 2.363410325579757] 	[[321.62860387747673, 65.737281835233304, 4.056476450352716, 5.9321893064298559, 3.0288565230569215], [65.737281835233304, 215.74934001823135, 4.1992366752042205, 1.4421055266621288, 4.0713240920963596], [4.056476450352716, 4.1992366752042205, 1.3326986857801078, 0.5729684869051227, 0.202125857013291], [5.9321893064298559, 1.4421055266621288, 0.5729684869051227, 30.09231865860506, 1.5177003067142332], [3.0288565230569215, 4.0713240920963596, 0.202125857013291, 1.5177003067142332, 7.142251836313344]]
4 	[-20.799619077795956, 4.969954765494528, -16.68307448904377, -7.328718059536779, 19.51314949971507] 	[[207.96227383563954, 8.5119082665559933, 21.7254576931598, 5.462200793888714, 14.73682865925908], [8.5119082665559933, 13.573748606915151, 13.130536188240052, 3.0900244029821535, 10.056135407429133], [21.7254576931598, 13.130536188240052, 411.7595619659366, 43.44317829513659, 103.43434175459331], [5.462200793888714, 3.0900244029821535, 43.44317829513659, 102.96297329310099, 39.114852404332829], [14.73682865925908, 10.056135407429133, 103.43434175459331, 39.114852404332829, 604.3529150859295]]
5 	[-13.6134991177557, -5.526347397594268, -11.30525738042853, -13.616269997274813, -12.439634193361506] 	[[123.36608857335365, 9.864163284216394, 21.213743219185584, 23.100433291950502, 36.307659235698452], [9.864163284216394, 48.85091023666228, 14.790960925637537, 1.6742979191400478, 8.6740213059918769], [21.213743219185584, 14.790960925637537, 247.62526104334955, 37.787928550313964, 5.703691249996961], [23.100433291950502, 1.6742979191400478, 37.787928550313964, 214.45799150620152, 14.947888692275836], [36.307659235698452, 8.6740213059918769, 5.703691249996961, 14.947888692275836, 216.54321523377365]]
6 	[-11.683044047717086, 12.355821345408721, -12.871037455874426, -15.154441949953448, 3.215113308326263] 	[[160.4986682624876, 34.200369519465838, 22.666877094556359, 7.9238598560122542, 8.3328608077078652], [34.200369519465838, 135.53462505891912, 15.960794404601332, 46.981411499409468, 1.7351303067167161], [22.666877094556359, 15.960794404601332, 256.5462599736582, 51.371240478756967, 3.0959937945257567], [7.9238598560122542, 46.981411499409468, 51.371240478756967, 272.0499996476017, 12.830252143785369], [8.3328608077078652, 1.7351303067167161, 3.0959937945257567, 12.830252143785369, 11.01147073518303]]
7 	[7.066271413355569, -12.034109066080605, -14.580149027301946, -3.387665981922776, 4.910671643963472] 	[[70.56035412514406, 21.556467393421837, 8.0139149469595274, 6.5821155290538691, 1.4290061818209963], [21.556467393421837, 174.23732510969435, 25.854127236857476, 15.421870689174348, 9.0754326434847759], [8.0139149469595274, 25.854127236857476, 144.67646496392376, 13.916652117754335, 5.1876447535674481], [6.5821155290538691, 15.421870689174348, 13.916652117754335, 25.12493440713268, 2.1380514455707167], [1.4290061818209963, 9.0754326434847759, 5.1876447535674481, 2.1380514455707167, 11.084442249048246]]
8 	[-11.902281438192517, 6.935166614840039, 1.4306082976396013, 18.283889509612138, -18.142639237549332] 	[[160.1423538364791, 8.2569930697690346, 4.2672186358019291, 47.451779902470086, 17.766101607969599], [8.2569930697690346, 77.39971392991296, 3.0225978461367267, 13.932910468024113, 4.5469759102832086], [4.2672186358019291, 3.0225978461367267, 2.1267125899654014, 5.1416454104907467, 4.023733683886471], [47.451779902470086, 13.932910468024113, 5.1416454104907467, 402.3111396358987, 70.666502990184767], [17.766101607969599, 4.5469759102832086, 4.023733683886471, 70.666502990184767, 238.38337063992273]]
9 	[-18.926042409908664, -7.357634084702216, -0.8839749949517604, 16.747126789661202, 7.322371103383695] 	[[741.2421563253768, 40.752836917542645, 0.50549835167354495, 52.345088742867745, 21.688147951755955], [40.752836917542645, 40.46251881754218, 0.15958845691870011, 18.492975645618984, 7.7841300479748412], [0.50549835167354495, 0.15958845691870011, 0.5832089467242045, 1.5980126831125865, 0.44718070200397803], [52.345088742867745, 18.492975645618984, 1.5980126831125865, 358.7113237784109, 42.353636207793571], [21.688147951755955, 7.7841300479748412, 0.44718070200397803, 42.353636207793571, 101.59295840374038]]
