TypeID 	Mean Vector 	Cov Matrix
0 	[-9.51452179333646, -0.4857579938908323, 8.408885179895645, 14.917397912206667, 0.01881134412575136] 	[[468.3336211210308, 27.688948398045429, 483.32799419111495, 820.50553085036302, 0.91525015980806901], [27.688948398045429, 2.8099987641816457, 37.587669277087912, 79.279057652632744, 0.099279594085839265], [483.32799419111495, 37.587669277087912, 1096.1627889815452, 1406.149357749038, 1.4557152341868147], [820.50553085036302, 79.279057652632744, 1406.149357749038, 3709.5636685572977, 3.1929903006439813], [0.91525015980806901, 0.099279594085839265, 1.4557152341868147, 3.1929903006439813, 0.004228801209856603]]
1 	[-1.1209241389389248, 3.06398993960644, -19.938605474580456, -15.860500498317473, 2.803295314037289] 	[[27.611698571530184, 20.995795026599719, 358.87971366466758, 232.70011291443873, 40.23170503575151], [20.995795026599719, 43.1583844235881, 426.00974087925562, 304.78233468846258, 39.106710596377688], [358.87971366466758, 426.00974087925562, 8583.51090996761, 4940.8503833779268, 549.17242454931807], [232.70011291443873, 304.78233468846258, 4940.8503833779268, 3757.1627217067967, 349.13023888668954], [40.23170503575151, 39.106710596377688, 549.17242454931807, 349.13023888668954, 70.91084182362424]]
2 	[4.860308900843247, 0.1675033324971551, -18.485930046306827, -7.770850973110763, 7.278589211923457] 	[[473.69042927170534, 4.7027242472765485, 754.16185085981294, 339.50292532374476, 274.6350347992817], [4.7027242472765485, 0.09983744071298806, 9.3915069132225515, 4.6608074638538941, 3.3860134343454229], [754.16185085981294, 9.3915069132225515, 1684.4449864019007, 672.12961160078316, 576.28642487969398], [339.50292532374476, 4.6608074638538941, 672.12961160078316, 313.5485833950776, 268.89371295412775], [274.6350347992817, 3.3860134343454229, 576.28642487969398, 268.89371295412775, 273.8261139436982]]
3 	[-11.960913337564335, 8.093112190436887, 8.57982298120977, -2.756389233307207, 7.517158512005878] 	[[3469.8807053249425, 674.27121251514609, 1677.6766573843238, 231.6897168266608, 443.01456189117113], [674.27121251514609, 161.97862026979777, 395.07428170885532, 58.390405436751216, 105.32075113633654], [1677.6766573843238, 395.07428170885532, 1221.5456760137856, 152.19658818391466, 378.78654435089146], [231.6897168266608, 58.390405436751216, 152.19658818391466, 27.285741343094315, 49.930975744976607], [443.01456189117113, 105.32075113633654, 378.78654435089146, 49.930975744976607, 150.5967240571666]]
4 	[-2.3401115465277975, -8.363454091125044, -12.88493820616812, -10.232896061935522, -13.835994714650345] 	[[16.579247829664176, 41.086441001141353, 158.00297412644053, 75.14621509095015, 112.35917667418727], [41.086441001141353, 226.82994674513563, 701.92496708544309, 362.79481702700878, 518.5718860851714], [158.00297412644053, 701.92496708544309, 3623.4186822604715, 1542.8405464466493, 1944.7203895011605], [75.14621509095015, 362.79481702700878, 1542.8405464466493, 773.141228296346, 1094.7168583468188], [112.35917667418727, 518.5718860851714, 1944.7203895011605, 1094.7168583468188, 1888.9547731706855]]
5 	[-0.6345862727288534, 15.073923658763022, -20.460092862241364, -10.756197652180473, -13.021728936576896] 	[[7.381075102821999, 114.85214056944643, 117.80391698385269, 98.721474627662346, 103.92973454636719], [114.85214056944643, 2762.3790087833745, 1946.3068381844707, 1937.1757614822432, 1374.7552414828176], [117.80391698385269, 1946.3068381844707, 3332.7163255628316, 2040.1733856680153, 1666.369670530142], [98.721474627662346, 1937.1757614822432, 2040.1733856680153, 2573.0317243447016, 1633.0460005995878], [103.92973454636719, 1374.7552414828176, 1666.369670530142, 1633.0460005995878, 1775.5188813787347]]
6 	[8.955843567414476, 3.9492593452138713, -7.575912649552521, 16.708211928765053, -5.284306260450826] 	[[1429.314677212795, 384.4524851828516, 793.19027013799757, 1481.4882594001053, 610.67540936620242], [384.4524851828516, 256.26669560337075, 347.20116627623662, 665.30891021562013, 263.9224912399946], [793.19027013799757, 347.20116627623662, 758.7929898174356, 1199.1711068991583, 337.18941392210093], [1481.4882594001053, 665.30891021562013, 1199.1711068991583, 2972.5836405272157, 717.02482354815436], [610.67540936620242, 263.9224912399946, 337.18941392210093, 717.02482354815436, 400.19815272828066]]
7 	[-12.169335929662127, 9.583182888634855, -18.913589746263234, -0.0543500740552858, -1.1691009230366056] 	[[2034.8653724547323, 856.75313047718919, 2700.3365454762825, 9.5975655407897644, 144.86254664784266], [856.75313047718919, 845.943329969298, 1674.3387406887011, 7.0255810033959429, 65.684425765182212], [2700.3365454762825, 1674.3387406887011, 7092.035448846323, 13.944060053354088, 210.72737717313046], [9.5975655407897644, 7.0255810033959429, 13.944060053354088, 0.0737308065066083, 0.65001441123258341], [144.86254664784266, 65.684425765182212, 210.72737717313046, 0.65001441123258341, 10.82055951522765]]
8 	[-13.308143446873348, -12.146192610695604, -4.279853344168554, 12.760490236330376, -5.712962274108289] 	[[3404.4351532957758, 2375.1820072912133, 510.63879871165329, 1420.3527685581323, 1202.38514568457], [2375.1820072912133, 2401.254058788115, 531.50186145339364, 1488.2465490215009, 1055.081728072518], [510.63879871165329, 531.50186145339364, 142.15426845257846, 328.02492976490316, 240.87796156660622], [1420.3527685581323, 1488.2465490215009, 328.02492976490316, 1632.8870207756463, 824.01978376277657], [1202.38514568457, 1055.081728072518, 240.87796156660622, 824.01978376277657, 791.0790543175755]]
9 	[-6.326908417189225, -9.752884434942029, 3.904213144215163, -11.486231924838792, -12.793857565357316] 	[[561.6240343086861, 547.64503381537088, 283.37182145739553, 805.50118830524059, 952.02274130446131], [547.64503381537088, 838.3893819830756, 406.77989003364962, 1150.9406060455801, 1270.6023304241451], [283.37182145739553, 406.77989003364962, 281.7825413906745, 563.47222252521499, 672.31117565010766], [805.50118830524059, 1150.9406060455801, 563.47222252521499, 1960.52481140476, 1467.280109426134], [952.02274130446131, 1270.6023304241451, 672.31117565010766, 1467.280109426134, 2391.23268355238]]
