TypeID 	Mean Vector 	Cov Matrix
0 	[-6.092839594936898, -11.799042140547483, 18.529743277889267, -14.989237142232907, -15.27826115311807] 	[[218.01463041947903, 0, 0, 0, 63.196589466457318], [0, 658.5070528029947, 0, 0, 0], [0, 0, 1362.6825271639534, 0, 0], [0, 0, 0, 2254.8405542351557, 0], [63.196589466457318, 0, 0, 0, 709.1182438523351]]
1 	[-3.770970868543163, 0.40251896551732, 8.858638948456214, -1.3194077944471019, -5.484481423366962] 	[[250.03324788269063, 0, 0, 0, 0], [0, 2.580867040889181, 0, 1.4910357829441936, 0], [0, 0, 880.3352098824793, 0, 0], [0, 1.4910357829441936, 0, 28.95323610728958, 0], [0, 0, 0, 0, 737.1149581897895]]
2 	[-11.940857976616961, -12.240387370380096, 12.511589904584127, 1.4993554231397042, 12.985269042842887] 	[[2933.78063070786, 203.56643634460812, 0, 46.846179572239208, 0], [203.56643634460812, 3087.094549096051, 0, 0, 0], [0, 0, 679.9463228092493, 0, 0], [46.846179572239208, 0, 0, 22.842746640927658, 0], [0, 0, 0, 0, 3219.1202996147535]]
3 	[-6.252030129170365, -19.694816330043906, 13.821126318258571, -0.7611725015491047, -13.225821272781182] 	[[518.1837464687272, 0, 0, 4.1603353820798867, 0], [0, 2772.422588312321, 0, 0, 0], [0, 0, 964.5124501264471, 2.241974892245274, 0], [4.1603353820798867, 0, 2.241974892245274, 1.3100773343760097, 0], [0, 0, 0, 0, 845.5269856127585]]
4 	[4.683986576032183, 17.654941110022, 1.1282239392021047, 15.272652653444375, 16.669855269314972] 	[[460.2893875956794, 30.138763510112909, 0, 0, 0], [30.138763510112909, 2222.6915438116075, 0, 0, 0], [0, 0, 5.179037851876205, 0, 0], [0, 0, 0, 726.9667497449132, 0], [0, 0, 0, 0, 2670.39586856165]]
5 	[20.219414271093015, 12.609865402999198, 5.84492314664012, 7.578456240008958, -11.54191620404039] 	[[7190.379985017099, 0, 0, 225.89490470643321, 0], [0, 1893.752616426393, 0, 0, 0], [0, 0, 262.6034736890336, 0, 0], [225.89490470643321, 0, 0, 683.3859345059917, 0], [0, 0, 0, 0, 2319.719754853599]]
6 	[-1.2326434919983242, -0.33900351136859186, 2.786665073847896, -13.419387790062636, -3.9833516679306946] 	[[22.636656041760997, 0, 0.77322650556827544, 1.0814652509941101, 0], [0, 0.43317690955087323, 1.1842391672147488, 0, 0], [0.77322650556827544, 1.1842391672147488, 86.27627723035424, 0, 0], [1.0814652509941101, 0, 0, 622.2274027798821, 0], [0, 0, 0, 0, 35.8840098380405]]
7 	[-0.7792755538602449, 10.620530819118187, -20.424082929792842, -6.105175169359466, 7.952507282545586] 	[[6.069432385056986, 0, 0, 0, 0], [0, 2035.005291420205, 0, 0, 301.08523618487499], [0, 0, 2251.105288861339, 0, 0], [0, 0, 0, 117.09811883903922, 37.80210876267374], [0, 301.08523618487499, 0, 37.80210876267374, 1539.8026394950734]]
8 	[-9.77626502913586, -6.752957835816543, -3.533870171625079, 5.642560478359268, -18.268733560355678] 	[[578.7346014665117, 0, 0, 0, 0], [0, 891.6634634392578, 0, 1.6601370928426304, 0], [0, 0, 39.80105627187494, 0, 0], [0, 1.6601370928426304, 0, 94.79916621648673, 0], [0, 0, 0, 0, 8141.504265636004]]
9 	[-8.155852935637453, -3.771074454240786, 9.596440443553984, 14.876371690244113, -17.26007059339283] 	[[1455.9964833838806, 0, 0, 0, 0], [0, 163.89524318199992, 54.58251620694228, 0, 0], [0, 54.58251620694228, 1048.2802415994886, 0, 0], [0, 0, 0, 3765.0457465596733, 0], [0, 0, 0, 0, 5027.11331354948]]
10 	[6.074541476538997, -4.218460098473422, -12.88068394507715, 11.222180119063118, 14.75824634708217] 	[[675.0040387144837, 0, 0, 0, 0], [0, 209.60851412380654, 0, 0, 167.13228018169005], [0, 0, 2716.3090214031713, 0, 0], [0, 0, 0, 1025.0558332970013, 0], [0, 167.13228018169005, 0, 0, 3492.008392973446]]
11 	[-7.164255840475757, 12.71494231424741, -14.125676889069634, 17.06002305728412, -14.442078233792934] 	[[641.9961963095859, 103.31365875876487, 0, 0, 0], [103.31365875876487, 543.9881004306585, 0, 0, 203.23088280915576], [0, 0, 1021.535525038013, 25.201685651737911, 0], [0, 0, 25.201685651737911, 4976.204622881867, 0], [0, 203.23088280915576, 0, 0, 2917.0638904156813]]
12 	[-6.099966617594692, -15.61773528770384, 9.943177843160722, 7.630322430658108, 15.207910924229324] 	[[743.8019473026001, 0, 0, 0, 0], [0, 2352.605074278333, 0, 0, 0], [0, 0, 1623.6755311489567, 0, 0], [0, 0, 0, 659.7502869965056, 130.15950524391604], [0, 0, 0, 130.15950524391604, 679.0881453000421]]
13 	[20.401938720044953, 11.00922685105364, 19.578205661421926, -16.661592370411313, -0.2181769603833743] 	[[3369.4191019267355, 0, 0, 0, 6.4903839723784591], [0, 1931.8168812820916, 285.02860217787924, 0, 0], [0, 285.02860217787924, 5505.146701939752, 0, 0], [0, 0, 0, 2193.6014025172217, 4.8285396698619731], [6.4903839723784591, 0, 0, 4.8285396698619731, 0.6146358354668083]]
14 	[-11.615631881971828, -13.139044636985508, -4.442306459607643, -18.53098704237202, 8.553988805740715] 	[[3185.832612114625, 0, 0, 0, 0], [0, 1040.5081483971499, 0, 0, 0], [0, 0, 58.581260271465396, 0, 0], [0, 0, 0, 5968.1515863308605, 54.204807693497727], [0, 0, 0, 54.204807693497727, 776.6921292743847]]
15 	[15.779231921219669, -13.490974752960758, 2.762387275826608, -12.136481132902494, -14.894663073649388] 	[[3676.1129728844644, 0, 38.728158919097432, 0, 642.27521561033041], [0, 3097.8490123805736, 109.10528577730639, 122.35446611237191, 0], [38.728158919097432, 109.10528577730639, 163.42125008698792, 0, 0], [0, 122.35446611237191, 0, 508.14106928432693, 0], [642.27521561033041, 0, 0, 0, 3392.7593149723384]]
