TypeID 	Mean Vector 	Cov Matrix
0 	[13.000315296778602, 16.265307048979693, -18.419718214731276, 1.3665405083339017, 4.573156628389846] 	[[32.599194809109925, 0, 0, 0, 4.798839924841384], [0, 88.53196487727882, 0, 3.3674088855599744, 11.189752294728438], [0, 0, 64.72482786339285, 0, 0], [0, 3.3674088855599744, 0, 0.5989756269617205, 0], [4.798839924841384, 11.189752294728438, 0, 0, 7.4217638509134884]]
1 	[-3.684135365455667, 8.111789660817895, -14.132455824103278, 7.86648206495417, 17.27869337694304] 	[[0.6087983261441117, 0, 0, 1.215372055869367, 3.0942927862254441], [0, 19.85309580076884, 0, 0, 0], [0, 0, 35.222496643223806, 7.0480793499797079, 0], [1.215372055869367, 0, 7.0480793499797079, 11.35625123454856, 0], [3.0942927862254441, 0, 0, 0, 98.51896758312698]]
2 	[-1.9146090405398297, -18.293374180920896, 17.49253885681044, 10.368297231099632, 7.112240881652195] 	[[0.19880050728377616, 0, 1.8884877991787117, 0.39769294318130716, 0], [0, 41.276452254319516, 0, 0, 5.9196727904423811], [1.8884877991787117, 0, 57.51561719610779, 10.20494848670514, 0], [0.39769294318130716, 0, 10.20494848670514, 12.629846646455318, 4.0412976111865992], [0, 5.9196727904423811, 0, 4.0412976111865992, 13.144130902802946]]
3 	[-0.6133878066125149, 1.3244720210365095, -11.508995752538283, 17.97308109520384, 4.3255487784880025] 	[[0.09378206939641422, 0, 0, 0, 0], [0, 0.0843023339630808, 0.64169451609347794, 1.5166788659765831, 0], [0, 0.64169451609347794, 22.239964704923604, 0, 0], [0, 1.5166788659765831, 0, 81.76576056637418, 4.6847699851272164], [0, 0, 0, 4.6847699851272164, 1.386801897228369]]
4 	[-12.569745355120697, -18.6250407607079, -8.168848635444792, -9.43649610474235, -19.619714170472776] 	[[9.431870193487281, 0, 0, 3.4221806478742747, 0], [0, 45.65711690944084, 0, 0, 15.557296865244012], [0, 0, 3.1236548877449155, 0, 0], [3.4221806478742747, 0, 0, 8.687376698630876, 4.4958624043500652], [0, 15.557296865244012, 0, 4.4958624043500652, 27.21524149094251]]
5 	[-9.468020018424035, -13.006558998437864, 20.288337511772276, -20.909214153357787, -6.601261676927146] 	[[26.62973971551366, 18.602227322323959, 0, 0, 0], [18.602227322323959, 43.60821976558155, 0, 0, 0], [0, 0, 76.50325292348316, 0, 0], [0, 0, 0, 150.31361475710153, 24.389970656029689], [0, 0, 0, 24.389970656029689, 12.967048768910148]]
6 	[13.469768577666592, -13.85320006519153, -12.703269792111996, 18.7282800103739, 15.9007657534505] 	[[44.99989601224199, 0, 0, 0, 16.076984567600515], [0, 35.6282580904526, 0, 0, 12.932096088740282], [0, 0, 11.328646528180233, 17.286565869768797, 0], [0, 0, 17.286565869768797, 111.48844324350472, 23.904796689176496], [16.076984567600515, 12.932096088740282, 0, 23.904796689176496, 30.98191085973667]]
7 	[-15.358267583964613, 17.498719528008877, -9.597658771789895, -6.699488680638783, 17.713331998684914] 	[[19.030728374166348, 0, 0, 0, 6.480673902440496], [0, 35.93801045692998, 0, 0, 0], [0, 0, 12.67341373876522, 0, 0], [0, 0, 0, 4.7865368600056515, 3.9087413637937884], [6.480673902440496, 0, 0, 3.9087413637937884, 33.65424892950331]]
8 	[-11.707764976915575, -19.3584276021636, -5.515431399574753, 19.846772634920306, -0.017261025147462306] 	[[32.52603812356123, 19.895026800819625, 3.8426107493569952, 8.5993897229315461, 0.019115226638498], [19.895026800819625, 114.9050785865077, 0, 11.558543716748801, 0], [3.8426107493569952, 0, 1.4356233317460678, 0, 0.0031373714238009708], [8.5993897229315461, 11.558543716748801, 0, 17.731424439441295, 0.020269712418238429], [0.019115226638498, 0, 0.0031373714238009708, 0.020269712418238429, 8.452988586194328e-05]]
9 	[14.355430924582734, -11.327467926939232, -16.44596572668216, -0.7399718293772111, -14.640412434799162] 	[[40.98243334980013, 5.2517846225904181, 0, 0.77444518805353701, 0], [5.2517846225904181, 5.833661160984223, 0, 0, 5.5195760064539261], [0, 0, 60.19443179947719, 0, 0], [0.77444518805353701, 0, 0, 0.06221982699224656, 0.5567600870625008], [0, 5.5195760064539261, 0, 0.5567600870625008, 17.741103293749326]]
10 	[12.879878491808924, 20.19412635933287, -19.699165129637326, -9.082210169212672, 9.550388188510336] 	[[32.74894250950575, 25.205681140353331, 0, 0, 0], [25.205681140353331, 120.93178360699346, 0, 17.463650253980997, 0], [0, 0, 37.34816411613667, 0, 0], [0, 17.463650253980997, 0, 10.040990229214131, 0], [0, 0, 0, 0, 4.929171848616507]]
11 	[19.72967956694587, -7.1455780589961915, 4.557623485700418, -7.97832544126744, -12.170655863535888] 	[[104.22086810319801, 14.932922439636792, 0, 0, 27.594534117392836], [14.932922439636792, 11.009979719302116, 0, 0, 0], [0, 0, 1.2499024337126425, 1.8047313458934322, 4.5058315172018419], [0, 0, 1.8047313458934322, 7.664654443701793, 9.2775469878906058], [27.594534117392836, 0, 4.5058315172018419, 9.2775469878906058, 53.16671131449707]]
12 	[-9.390830546503171, 6.374169940980551, 9.980997280298418, -15.536399914818247, -1.7134131553313523] 	[[28.2190034942151, 0, 7.5726855509778721, 13.222863669767252, 1.2200422610086477], [0, 13.903062560217162, 0, 15.09157631062507, 1.1981537804386277], [7.5726855509778721, 0, 14.539344489250203, 0, 0], [13.222863669767252, 15.09157631062507, 0, 60.036329196230454, 2.5523255540129108], [1.2200422610086477, 1.1981537804386277, 0, 2.5523255540129108, 0.6966726769154501]]
13 	[1.178687151662281, -1.9988758191397906, 20.877766835896146, -14.43268856285141, 20.920697802729926] 	[[0.14675670672612218, 0.14467787942143345, 0, 0.84440138857065961, 0], [0.14467787942143345, 0.933316570318981, 5.5816851478093765, 4.0703633058736246, 0], [0, 5.5816851478093765, 122.63408866499628, 24.720936779651936, 15.452842301311154], [0.84440138857065961, 4.0703633058736246, 24.720936779651936, 71.98247520329473, 22.334987094468548], [0, 0, 15.452842301311154, 22.334987094468548, 20.56485094958713]]
14 	[17.85844315025905, -13.384756714754072, 4.26751207619774, 4.410867850914865, -0.07645814580286725] 	[[91.65667397477631, 0, 7.907964955029728, 0, 0], [0, 7.3694906625180785, 0, 0, 0.033347780771130119], [7.907964955029728, 0, 5.066066301837883, 0.98833435964326688, 0.031812788017178274], [0, 0, 0.98833435964326688, 0.8618085522951471, 0], [0, 0.033347780771130119, 0.031812788017178274, 0, 0.0007543610180763242]]
