TypeID 	Mean Vector 	Cov Matrix
0 	[-5.092854856363992, -16.959762134122446, 1.2892379960097173, 15.25335730622541, -12.751710491245863] 	[[45.30953701104133, 25.784913188230707, 3.324659572119923, 45.395569968072621, 45.423811789428328], [25.784913188230707, 216.02471498515146, 15.360634558852542, 59.532230648913185, 71.847715216276583], [3.324659572119923, 15.360634558852542, 3.4300039992893763, 11.365762252893751, 17.578002833544705], [45.395569968072621, 59.532230648913185, 11.365762252893751, 133.64872242863316, 101.58386264101232], [45.423811789428328, 71.847715216276583, 17.578002833544705, 101.58386264101232, 333.595715297499]]
1 	[-19.56194008947927, 2.741224240899328, 16.495335158972374, -3.184309128654178, 14.540895368449497] 	[[625.9426236990724, 28.996244470486708, 174.23313906246875, 36.34797743161333, 232.55716949592986], [28.996244470486708, 13.7837253755518, 15.867176153688355, 8.7536804910815924, 20.287323415826975], [174.23313906246875, 15.867176153688355, 237.76599670321488, 25.744721033270398, 157.35391083376166], [36.34797743161333, 8.7536804910815924, 25.744721033270398, 17.300679705300926, 33.594754975976834], [232.55716949592986, 20.287323415826975, 157.35391083376166, 33.594754975976834, 327.52111950262787]]
2 	[19.175906649572475, 19.83126665935535, 0.9911998019734227, -7.7913348815266605, 4.1903745919206195] 	[[560.0477792186119, 193.12016140375599, 12.972501267244596, 60.311326838275825, 66.291936042432624], [193.12016140375599, 279.3384157298398, 7.9236081660189646, 35.44270406958627, 40.878508998447707], [12.972501267244596, 7.9236081660189646, 1.222808646710137, 1.9118557045766222, 2.9486865801817634], [60.311326838275825, 35.44270406958627, 1.9118557045766222, 45.47286585864606, 21.28626771344473], [66.291936042432624, 40.878508998447707, 2.9486865801817634, 21.28626771344473, 31.71372712947452]]
3 	[-19.412658375645687, 17.61428992334117, -2.2739075252422722, 4.867701988919599, 20.61810839492494] 	[[433.53726515411665, 136.08392512815871, 16.759175683967371, 44.624320880923023, 326.02233092622112], [136.08392512815871, 615.1118511031128, 24.473413397134536, 46.068188948203641, 220.7778344575656], [16.759175683967371, 24.473413397134536, 3.3360736774671045, 3.758721626598426, 18.258425778259344], [44.624320880923023, 46.068188948203641, 3.758721626598426, 15.772991649373601, 57.258786682162217], [326.02233092622112, 220.7778344575656, 18.258425778259344, 57.258786682162217, 792.1443899309919]]
4 	[-14.50532023880358, 9.690556159369955, -9.668635525744929, -8.726033834391902, 20.13674983066779] 	[[379.3835573681672, 100.9423154290194, 65.245065649945801, 109.45109872060893, 135.01147301722446], [100.9423154290194, 81.41890866447567, 25.268154113960392, 34.539656620550254, 113.96768333003008], [65.245065649945801, 25.268154113960392, 122.1703307029063, 63.910786308143152, 66.465472770489271], [109.45109872060893, 34.539656620550254, 63.910786308143152, 153.33487285334644, 137.02902532245585], [135.01147301722446, 113.96768333003008, 66.465472770489271, 137.02902532245585, 462.3923627158989]]
5 	[15.134211409539041, -5.106806956938543, 11.424951114532895, 2.9762876808709535, -17.252872564309378] 	[[204.3251176022676, 37.054624917318876, 81.808495464507175, 21.281067183746281, 108.73564759083038], [37.054624917318876, 52.63211769369324, 22.584563206284805, 8.5394582945460584, 37.319490096556741], [81.808495464507175, 22.584563206284805, 110.47127372036503, 15.837247958819912, 86.990773272572852], [21.281067183746281, 8.5394582945460584, 15.837247958819912, 10.469065374548785, 14.368669962616877], [108.73564759083038, 37.319490096556741, 86.990773272572852, 14.368669962616877, 192.40349734573797]]
6 	[-17.946874737759988, 0.9353568758599025, -6.706761715566451, 15.67124172032866, 16.576858041781172] 	[[117.01041458315612, 8.1864247374087569, 20.02958488212985, 65.648626181407451, 64.208466878109149], [8.1864247374087569, 1.801070366369426, 2.7809140538136932, 11.26735090624423, 11.310424420222752], [20.02958488212985, 2.7809140538136932, 33.00045024641129, 26.967072001909809, 44.436589689679195], [65.648626181407451, 11.26735090624423, 26.967072001909809, 223.4685732797896, 107.33947955242472], [64.208466878109149, 11.310424420222752, 44.436589689679195, 107.33947955242472, 268.17198762020865]]
7 	[-18.82043234482687, -8.239374610591279, -12.155130206636164, -5.4271456411708705, -17.827926813120097] 	[[357.7308125486089, 75.284209829192392, 81.730609070220467, 53.530035708285773, 164.09363067052891], [75.284209829192392, 85.04237396012523, 43.95717434563543, 15.922879494015271, 131.87020143024225], [81.730609070220467, 43.95717434563543, 69.31526104201652, 17.76038670459867, 110.71806328177007], [53.530035708285773, 15.922879494015271, 17.76038670459867, 37.54900251628633, 96.667776851049481], [164.09363067052891, 131.87020143024225, 110.71806328177007, 96.667776851049481, 707.9360394225491]]
8 	[-19.138184596939514, -20.04828532279047, 19.067064897854074, -20.232187968302462, 16.754734868001663] 	[[204.829505605628, 54.326581005512402, 89.644862142288389, 226.53976251078052, 52.579522898959738], [54.326581005512402, 188.94835142522206, 76.826582934135459, 121.59743981958937, 71.694768974930611], [89.644862142288389, 76.826582934135459, 401.88844773346784, 280.83523786860275, 53.65360147298874], [226.53976251078052, 121.59743981958937, 280.83523786860275, 710.5355139068936, 107.21726936163427], [52.579522898959738, 71.694768974930611, 53.65360147298874, 107.21726936163427, 101.42534217399682]]
9 	[-11.100680402593248, -8.07711660629965, -5.011083289151335, -0.0032620736757245083, 20.750875940665573] 	[[112.5778981367161, 25.135633215472375, 28.760969018284293, 0.011728236787420866, 101.75575857384135], [25.135633215472375, 35.011107931390846, 10.612490865436479, 0.0063254358689562289, 71.390722354456699], [28.760969018284293, 10.612490865436479, 30.0995946560262, 0.0096156995169073937, 64.976909175857912], [0.011728236787420866, 0.0063254358689562289, 0.0096156995169073937, 1.56253749470905e-05, 0.049206289392332972], [101.75575857384135, 71.390722354456699, 64.976909175857912, 0.049206289392332972, 663.8287402735231]]
10 	[-12.816158847268984, -13.399803075371864, 9.277351744862106, 3.0634235411049993, -2.5322466995890203] 	[[168.9549108952303, 53.643293088871019, 68.875802235555128, 12.322297902767238, 22.284381557952837], [53.643293088871019, 110.28355736230137, 55.7771732957994, 6.4102802281060773, 19.718471966826346], [68.875802235555128, 55.7771732957994, 88.39082689777088, 9.8062986751771621, 18.415869824919639], [12.322297902767238, 6.4102802281060773, 9.8062986751771621, 3.723501669102738, 1.5872973694085761], [22.284381557952837, 19.718471966826346, 18.415869824919639, 1.5872973694085761, 10.741174636248587]]
11 	[-7.057463952169037, 2.584778374584957, -20.932498710870103, 12.0616050549257, -2.7026961920670267] 	[[22.765366985336634, 8.9750919079118123, 34.172571512935697, 15.750174776629876, 4.6546954720247715], [8.9750919079118123, 12.137536783074529, 19.54452833043813, 23.352588547090111, 3.0330881852616698], [34.172571512935697, 19.54452833043813, 237.4014816020386, 103.74957835335032, 18.825844454245544], [15.750174776629876, 23.352588547090111, 103.74957835335032, 149.53793523880486, 17.335362288662548], [4.6546954720247715, 3.0330881852616698, 18.825844454245544, 17.335362288662548, 7.528080084072763]]
12 	[-12.804584240383749, -18.08366571447827, -8.744444767970379, 3.8673944394105284, 1.9060641539243903] 	[[62.57570032133522, 62.290943985123839, 44.197893832714549, 12.50354278312037, 8.0270914660331751], [62.290943985123839, 628.477844210241, 75.679960898364882, 24.143272174391708, 20.148538255045043], [44.197893832714549, 75.679960898364882, 112.81390936140376, 8.591765463705924, 6.6820769737982735], [12.50354278312037, 24.143272174391708, 8.591765463705924, 8.987356227141357, 2.0471542068001436], [8.0270914660331751, 20.148538255045043, 6.6820769737982735, 2.0471542068001436, 3.427694441660654]]
13 	[16.937735437647945, 13.969172979097188, -6.093751522548796, -13.464360647027814, -12.170994625866228] 	[[129.4995026279343, 46.716382704111169, 29.246489287112709, 89.703836600494569, 62.097911645764874], [46.716382704111169, 140.9449372630436, 27.839692510283385, 115.99345378047168, 41.885834707122761], [29.246489287112709, 27.839692510283385, 23.761683241325315, 49.781830738354081, 26.139024072676008], [89.703836600494569, 115.99345378047168, 49.781830738354081, 306.24450266197255, 87.348463237166158], [62.097911645764874, 41.885834707122761, 26.139024072676008, 87.348463237166158, 98.83154850533147]]
