TypeID 	Mean Vector 	Cov Matrix
0 	[17.01877020737774, -17.54259212179461, 12.78473395689128, -20.549864842193355, -6.179644322539174] 	[[88.97544049017347, 8.1779527821732998, 6.5036821693208262, 4.5140262116621042, 0], [8.1779527821732998, 95.87559593924685, 5.0966956375867909, 4.0595226546534162, 0.31828985594526543], [6.5036821693208262, 5.0966956375867909, 9.721842298291623, 4.9968097780131, 0], [4.5140262116621042, 4.0595226546534162, 4.9968097780131, 138.69587957134917, 0], [0, 0.31828985594526543, 0, 0, 1.536228772502999]]
1 	[16.59580645302775, 1.7987913206955142, 1.8473338673905602, -18.891353908085733, -13.90439484575649] 	[[38.00119724448767, 0.83300359673820135, 0, 0, 2.202220634667964], [0.83300359673820135, 0.7774129034894504, 0, 0, 0], [0, 0, 0.9515004116708591, 0, 0], [0, 0, 0, 62.29192195806992, 0], [2.202220634667964, 0, 0, 0, 9.571555426594548]]
2 	[-6.4310548443860736, -14.754697845083074, -17.643729441939257, 15.176972070323494, 3.1846254047308165] 	[[8.034470071852114, 3.1206680649907601, 0, 2.0430308570461611, 0.34000700144275348], [3.1206680649907601, 44.97631229393487, 1.9165566589496312, 5.5549860785725151, 0.19541143492876611], [0, 1.9165566589496312, 64.93371696026813, 0, 0], [2.0430308570461611, 5.5549860785725151, 0, 56.353503795787894, 0.18311637267902847], [0.34000700144275348, 0.19541143492876611, 0, 0.18311637267902847, 2.566493280046964]]
3 	[0.1342032984472432, 11.329349198647286, 11.144380428489946, -8.94926166182533, -8.482394933538426] 	[[0.0018866221765233583, 0.045318250766206679, 0.046240287690889836, 0, 0], [0.045318250766206679, 21.24346276520074, 0, 0, 0.38836099902101712], [0.046240287690889836, 0, 26.72004027524852, 0, 0], [0, 0, 0, 21.90914959731715, 0], [0, 0.38836099902101712, 0, 0, 3.7013292005734604]]
4 	[-15.507784319617992, 8.350136698219167, 12.600693952402544, 14.233872035255636, -1.9621781356126462] 	[[24.624380981220767, 0, 0, 2.9670540486661454, 0.45291979774160684], [0, 2.8323254459311293, 0, 0, 0], [0, 0, 30.07033785220206, 0, 1.3893475222956011], [2.9670540486661454, 0, 0, 25.7804802287985, 0], [0.45291979774160684, 0, 1.3893475222956011, 0, 1.1045840320069753]]
5 	[1.300671404964067, 16.863892501237352, 8.953719170258811, 4.567335448522442, -1.3277065484284805] 	[[0.19289584434850762, 0, 0, 0.09121273255781305, 0], [0, 18.233640552912046, 0, 1.3572565319073326, 0], [0, 0, 24.147106095429272, 0, 0.53891258735219216], [0.09121273255781305, 1.3572565319073326, 0, 2.69602021808575, 0], [0, 0, 0.53891258735219216, 0, 0.5056135818779735]]
6 	[0.8125311202690355, 5.105229054230339, -15.561963039733051, 14.596176226373338, 20.107338018699522] 	[[0.2196615634002872, 0.29608794580333997, 0, 0, 0], [0.29608794580333997, 6.746642176501081, 1.6039804201741845, 2.0912413264318728, 4.883652930031305], [0, 1.6039804201741845, 10.738368362012737, 0, 0], [0, 2.0912413264318728, 0, 11.908243882682942, 0], [0, 4.883652930031305, 0, 0, 82.07122934111051]]
7 	[7.867443605805324, -1.1446561921196334, 6.670201143964807, -19.027814228024702, -4.311390859328053] 	[[19.8623024622803, 0.061259388086114079, 0, 0, 0], [0.061259388086114079, 0.45049168786106125, 0, 0, 0.015927133345545318], [0, 0, 14.930621314904794, 0, 0], [0, 0, 0, 41.47049350633693, 0], [0, 0.015927133345545318, 0, 0, 1.1673838018994949]]
8 	[8.879272681655344, 0.7133467337149071, 7.527196293614438, -19.30620993645788, -0.24364345583866864] 	[[21.226621352746527, 0, 0, 0, 0.0093007569908931716], [0, 0.04333280667417252, 0, 0.050410224582119342, 0], [0, 0, 4.228085877394907, 0, 0], [0, 0.050410224582119342, 0, 16.139789240065603, 0], [0.0093007569908931716, 0, 0, 0, 0.004572151278155241]]
9 	[-11.526852240762931, 15.803434885268473, -8.360155581857876, -4.547810874628308, -20.057239739106446] 	[[32.30584395049663, 0, 0, 0, 0], [0, 20.793848067164156, 0, 2.4813415867273947, 0.62108946602656911], [0, 0, 4.970873441807691, 0.50360750623444739, 0], [0, 2.4813415867273947, 0.50360750623444739, 4.857972051086333, 0], [0, 0.62108946602656911, 0, 0, 28.845022589655574]]
