TypeID 	Mean Vector 	Cov Matrix
0 	[3.983828675469965, -11.932760596667427, -14.26915086801327, -19.0871005865549, 11.001402639701944] 	[[1.5771439367933138, 0, 0, 0, 0], [0, 23.917448093077986, 0, 0, 0], [0, 0, 30.54930443684761, 0, 0], [0, 0, 0, 15.66114408716592, 0], [0, 0, 0, 0, 28.764798551272975]]
1 	[12.247868825315102, 19.989774143531164, -20.24228273804418, 20.256268479979894, -18.22959671227659] 	[[23.648749538429875, 0, 0, 0, 0], [0, 23.0051814396808, 0, 0, 0], [0, 0, 91.94677940170432, 0, 0], [0, 0, 0, 17.08308092211868, 0], [0, 0, 0, 0, 76.22984636682479]]
2 	[-7.260024368665434, 4.696592558084163, 8.155181132773976, 12.744316072231278, 3.3988561799429675] 	[[9.87753450481378, 0, 0, 0, 0], [0, 7.309116725745423, 0, 0, 0], [0, 0, 20.34859065674039, 0, 0], [0, 0, 0, 13.470902893221055, 0], [0, 0, 0, 0, 0.9035714303726045]]
3 	[-17.226620858565273, -9.905027918679135, 4.3282639576562545, 0.4805090092270028, 4.566191305329042] 	[[101.62322088282932, 0, 0, 0, 0], [0, 29.19399063185131, 0, 0, 0], [0, 0, 3.8612126214579168, 0, 0], [0, 0, 0, 0.009468919961634516, 0], [0, 0, 0, 0, 0.8985531784209564]]
4 	[-15.933275757219885, -10.92784266775758, 3.859520161177535, -1.0783482117179766, -0.053910560798364315] 	[[24.042179744784054, 0, 0, 0, 0], [0, 36.56821025681099, 0, 0, 0], [0, 0, 0.7148007277423782, 0, 0], [0, 0, 0, 0.19182714450639887, 0], [0, 0, 0, 0, 0.0003615189240318299]]
5 	[10.054385850977287, -0.23337361528384193, -1.9291167838236625, 19.774009656130637, -8.117179002026562] 	[[9.558596509543426, 0, 0, 0, 0], [0, 0.0034766595945387776, 0, 0, 0], [0, 0, 0.6809228947243163, 0, 0], [0, 0, 0, 30.322850350714194, 0], [0, 0, 0, 0, 11.185134142885401]]
6 	[1.634952608523804, -19.02985324690198, 10.822294241485128, 16.767608504653232, 14.908693953193094] 	[[0.2875166160472115, 0, 0, 0, 0], [0, 35.049180360434946, 0, 0, 0], [0, 0, 17.054416487006407, 0, 0], [0, 0, 0, 67.28521029226356, 0], [0, 0, 0, 0, 49.38312616095726]]
7 	[-2.064090165865373, -8.839315491892846, 3.0917027608537566, 17.564469941319032, -2.187154130848576] 	[[1.5203584076333172, 0, 0, 0, 0], [0, 4.636335999114271, 0, 0, 0], [0, 0, 1.9818304564683402, 0, 0], [0, 0, 0, 41.61274963096609, 0], [0, 0, 0, 0, 0.7595185020189466]]
8 	[-13.146621656787538, -13.688963186931371, 18.15056768098343, -18.671711168950605, -12.907490760908631] 	[[55.68269415260608, 0, 0, 0, 0], [0, 46.34997891117335, 0, 0, 0], [0, 0, 78.79871065094352, 0, 0], [0, 0, 0, 104.4955332106488, 0], [0, 0, 0, 0, 50.36199944490037]]
9 	[10.513237062347411, 14.509075962450403, -15.534841981387343, 9.803792484407573, 17.763211551224757] 	[[19.370410354992625, 0, 0, 0, 0], [0, 34.93838525458392, 0, 0, 0], [0, 0, 49.096813006629944, 0, 0], [0, 0, 0, 5.44195525307843, 0], [0, 0, 0, 0, 88.44039029369219]]
10 	[-19.20592567234478, 14.42415856771099, -5.645211510897152, -1.8618267355476448, 6.412975057933796] 	[[36.3310419393941, 0, 0, 0, 0], [0, 10.25935381268584, 0, 0, 0], [0, 0, 8.723746069963996, 0, 0], [0, 0, 0, 1.2001450885171092, 0], [0, 0, 0, 0, 13.708921446378845]]
11 	[13.948779940328592, -2.980442735831552, 7.38746145945386, -16.12582723929939, -5.314119348672273] 	[[26.882560409752564, 0, 0, 0, 0], [0, 2.8585730363842385, 0, 0, 0], [0, 0, 18.6632831738237, 0, 0], [0, 0, 0, 21.82863881838125, 0], [0, 0, 0, 0, 1.5563829436680185]]
12 	[6.115417900568907, -19.052143226998187, -8.797983880156968, 6.853563714224393, 6.122584296052636] 	[[4.778487942873468, 0, 0, 0, 0], [0, 111.30118147494092, 0, 0, 0], [0, 0, 13.549649955313098, 0, 0], [0, 0, 0, 15.924883368653534, 0], [0, 0, 0, 0, 3.3234663560489452]]
13 	[3.21591502406363, 18.006033600710424, 13.198704235157223, -7.204540960420381, 17.670904122885837] 	[[2.5425215334866103, 0, 0, 0, 0], [0, 82.20779721713755, 0, 0, 0], [0, 0, 19.34030246695504, 0, 0], [0, 0, 0, 10.216654593797951, 0], [0, 0, 0, 0, 33.19551496234103]]
14 	[-15.156432637138689, 4.684595238939458, -18.09500600154913, 3.250230955992116, 3.9480759839669766] 	[[50.46533989830574, 0, 0, 0, 0], [0, 4.974483193780048, 0, 0, 0], [0, 0, 110.92438200130341, 0, 0], [0, 0, 0, 1.6713918191438828, 0], [0, 0, 0, 0, 4.6940898132444095]]
15 	[14.688783738501819, -15.835500675019599, 20.81097266246112, -12.879370141678258, -8.35997264835747] 	[[36.85630946176543, 0, 0, 0, 0], [0, 39.999658166318724, 0, 0, 0], [0, 0, 81.09056339219823, 0, 0], [0, 0, 0, 57.79427698928912, 0], [0, 0, 0, 0, 7.175385586081477]]
