TypeID 	Mean Vector 	Cov Matrix
0 	[14.986551026086545, 0.3432377531356927, -20.936119184810465, -15.957816464900247, -13.830927649727839] 	[[65.64227766689584, 0, 0, 0, 0], [0, 0.012114971101510276, 0, 0, 0], [0, 0, 90.08391047715843, 0, 0], [0, 0, 0, 63.15519070308745, 0], [0, 0, 0, 0, 42.45861856539139]]
1 	[-20.303988364495417, 8.678933662114048, -8.06944656131048, 1.1029476126029607, -20.484280770967967] 	[[62.406251236680625, 0, 0, 0, 0], [0, 20.053469031718524, 0, 0, 0], [0, 0, 21.4673548450541, 0, 0], [0, 0, 0, 0.05249271404275911, 0], [0, 0, 0, 0, 46.2543999218155]]
2 	[-1.8904494256141824, 13.507803036734309, 13.69012879971082, 19.224064357857642, -4.33171645345789] 	[[1.0307172838526009, 0, 0, 0, 0], [0, 54.42803023065673, 0, 0, 0], [0, 0, 64.29983610123045, 0, 0], [0, 0, 0, 80.15700942236384, 0], [0, 0, 0, 0, 6.023532340933484]]
3 	[-1.988425250636574, -6.5352320963437, -9.519711048853774, 18.873769147364072, 5.169980619358888] 	[[1.3003250044637873, 0, 0, 0, 0], [0, 13.344541925474955, 0, 0, 0], [0, 0, 6.834901978536296, 0, 0], [0, 0, 0, 18.572334819209658, 0], [0, 0, 0, 0, 2.3426828638739003]]
4 	[-11.014804794274625, -4.327780735600307, -0.8194469406155029, -13.877707936326377, -1.5543672383689966] 	[[10.546678341378886, 0, 0, 0, 0], [0, 1.1045153206953369, 0, 0, 0], [0, 0, 0.21770684591635645, 0, 0], [0, 0, 0, 65.81373066616939, 0], [0, 0, 0, 0, 0.8636060275795482]]
5 	[9.095037618346215, -13.312118940172429, 3.5762151771553867, 2.3763850725214937, 20.17260884977793] 	[[5.132597739152985, 0, 0, 0, 0], [0, 7.2509139037511465, 0, 0, 0], [0, 0, 1.6776324421637268, 0, 0], [0, 0, 0, 0.8866693601986408, 0], [0, 0, 0, 0, 16.512485907510694]]
6 	[-2.727671276314421, -2.5582105474155092, 5.0612063246259495, 10.353447664959134, -12.867526779709337] 	[[1.5391889664342, 0, 0, 0, 0], [0, 0.4846922235068193, 0, 0, 0], [0, 0, 2.9012416325269177, 0, 0], [0, 0, 0, 28.33681070541719, 0], [0, 0, 0, 0, 36.37427535223529]]
7 	[-2.5711883872385464, 5.085388248642452, -12.350026627145933, 11.386404116514292, 10.40051366060107] 	[[0.9168915506152178, 0, 0, 0, 0], [0, 2.768117924954658, 0, 0, 0], [0, 0, 54.73766141601271, 0, 0], [0, 0, 0, 22.607408251460093, 0], [0, 0, 0, 0, 5.983067391782182]]
8 	[8.549125909585456, 19.54039345918578, 2.4739878435079348, 6.879224715432919, 19.043168239957595] 	[[4.171851192928705, 0, 0, 0, 0], [0, 40.96664254192251, 0, 0, 0], [0, 0, 1.3528123087240345, 0, 0], [0, 0, 0, 8.908606952486041, 0], [0, 0, 0, 0, 36.522414085050045]]
9 	[-16.251666378535287, -11.268822530435935, 6.732738485180626, 16.189181183426008, -12.894191456759964] 	[[41.82521185349739, 0, 0, 0, 0], [0, 24.34013161755315, 0, 0, 0], [0, 0, 5.028935637444373, 0, 0], [0, 0, 0, 59.41279135292396, 0], [0, 0, 0, 0, 19.312388273060357]]
10 	[20.712721307474347, -3.9271651048892906, 16.855881373799306, 11.186695158050654, -11.33780673224571] 	[[25.30003533070843, 0, 0, 0, 0], [0, 4.643296461505024, 0, 0, 0], [0, 0, 78.57964867650736, 0, 0], [0, 0, 0, 19.212090325106, 0], [0, 0, 0, 0, 23.452823491139956]]
11 	[-2.6784359975625485, -9.855094611718348, 14.633502220057693, 8.872575153136687, -14.412662593742384] 	[[1.8381750020422254, 0, 0, 0, 0], [0, 23.011813053831133, 0, 0, 0], [0, 0, 31.26767131331952, 0, 0], [0, 0, 0, 22.003959592642804, 0], [0, 0, 0, 0, 24.291007766394348]]
12 	[-13.041461748409688, -17.79324254982453, 5.9372919352869715, 19.219096768562054, 6.839100892380539] 	[[11.432956105888392, 0, 0, 0, 0], [0, 81.4108264685037, 0, 0, 0], [0, 0, 1.6692571678396584, 0, 0], [0, 0, 0, 43.73053608571636, 0], [0, 0, 0, 0, 5.561777154876558]]
13 	[1.0614764136284727, -15.695813956725885, 3.3144653923655447, -13.509264282726495, -17.008837281848347] 	[[0.12834610264593654, 0, 0, 0, 0], [0, 60.21231832810713, 0, 0, 0], [0, 0, 3.933072114234582, 0, 0], [0, 0, 0, 20.19203091471744, 0], [0, 0, 0, 0, 64.77413409452694]]
14 	[-2.164666332929265, -11.042717266660922, 18.766819031327394, -8.256127759861949, 3.8596453667652177] 	[[0.9552422262852006, 0, 0, 0, 0], [0, 15.506835829855378, 0, 0, 0], [0, 0, 37.84426807760459, 0, 0], [0, 0, 0, 20.573992700694735, 0], [0, 0, 0, 0, 3.2767878766931418]]
15 	[18.939290467485456, -0.29501287079525085, 10.067957279049356, 5.100874030159261, 8.621145447996653] 	[[21.652334961512206, 0, 0, 0, 0], [0, 0.013844690372945388, 0, 0, 0], [0, 0, 13.265193520828499, 0, 0], [0, 0, 0, 2.2624644121563753, 0], [0, 0, 0, 0, 24.25093061609725]]
