TypeID 	Mean Vector 	Cov Matrix
0 	[-9.370564282070472, 5.782478768766818, 18.893739545613244, -2.798766635722636, 10.52311145649358] 	[[79.46415137810494, 0, 0, 0, 75.721190062930987], [0, 20.70237923592754, 0, 0, 0], [0, 0, 564.9263777933525, 23.646284124288151, 0], [0, 0, 23.646284124288151, 8.733095041012895, 13.15944482856743], [75.721190062930987, 0, 0, 13.15944482856743, 244.9048639740095]]
1 	[-6.549814738078961, 6.019355378397968, -4.301053900742151, 18.70406731587783, -17.015252881045722] 	[[63.55140313747248, 0, 0, 0, 0], [0, 47.552804851109045, 0, 0, 59.656427060416988], [0, 0, 30.867171712525614, 19.062514080768739, 0], [0, 0, 19.062514080768739, 134.62246207457193, 0], [0, 59.656427060416988, 0, 0, 368.4159278501841]]
2 	[-7.038179316355826, 3.6138757742867327, 1.9975938591574511, 12.167479855650761, 7.74613280814205] 	[[29.63848541405228, 0, 0, 0, 0], [0, 22.86555411680761, 0, 0, 0], [0, 0, 1.8339957699156713, 0, 3.2773827023298567], [0, 0, 0, 312.76497808700316, 0], [0, 0, 3.2773827023298567, 0, 61.69912950583026]]
3 	[7.241072442187885, 6.7378571708214885, 2.1956309314133655, -16.987625404894715, -6.74959070344063] 	[[112.9088259238581, 0, 0, 95.775437728408804, 0], [0, 65.53525246105299, 5.7683584569674355, 67.786561189032454, 0], [0, 5.7683584569674355, 3.704104690637176, 13.545572040213443, 5.8274622771138818], [95.775437728408804, 67.786561189032454, 13.545572040213443, 363.87242769919425, 0], [0, 0, 5.8274622771138818, 0, 51.2261316721636]]
4 	[-7.98523549925096, 20.922361892704423, 15.152582802529174, 0.46405409803454845, 16.095651748138096] 	[[84.54479809262459, 0, 0, 0, 0], [0, 964.9993772044866, 0, 0, 197.65094911844051], [0, 0, 321.4038258929196, 0, 0], [0, 0, 0, 0.45821364840107687, 0], [0, 197.65094911844051, 0, 0, 409.02033208464206]]
5 	[3.02808879928844, 11.691240322113472, 5.556519003676158, -4.3145351431679515, 10.058531046198095] 	[[7.609712312590503, 0, 0, 0, 0], [0, 92.78912444966369, 41.697278181262718, 0, 0], [0, 41.697278181262718, 67.1390935637293, 0, 0], [0, 0, 0, 9.160212070231099, 0], [0, 0, 0, 0, 93.41940484911399]]
6 	[2.8520759332399592, -18.306125298361714, -17.742120200187994, 17.673602607042113, 8.38847321482789] 	[[3.8350277088146343, 0, 12.545236957890092, 0, 0], [0, 193.82184052580874, 0, 0, 0], [12.545236957890092, 0, 349.85826596050356, 0, 0], [0, 0, 0, 631.4049079536709, 0], [0, 0, 0, 0, 136.11155804045302]]
7 	[-9.346970764745937, -12.447757612911904, -15.533634360907318, 11.374538090855019, -3.1689190735170065] 	[[117.77870385150099, 0, 0, 25.116059103166094, 0], [0, 77.24604604503845, 0, 0, 0], [0, 0, 168.6040960894064, 0, 0], [25.116059103166094, 0, 0, 54.30636898260028, 17.096987812068452], [0, 0, 0, 17.096987812068452, 15.02264673991075]]
8 	[-4.397557073231759, 0.7463193326865394, -14.770401710423116, 0.3239188354846192, 4.6436772334758345] 	[[20.645544468283767, 0, 28.124873100053861, 0.54222635152224441, 0], [0, 0.277964404982989, 0, 0, 1.2194507592197514], [28.124873100053861, 0, 215.0904168159373, 0, 32.094730558659847], [0.54222635152224441, 0, 0, 0.10756477320636788, 0], [0, 1.2194507592197514, 32.094730558659847, 0, 18.812133174459635]]
9 	[-11.970119295987447, -10.764674520682274, 2.132598127843945, -7.048570192824318, -20.454594743866846] 	[[96.05513482872044, 31.939394753306807, 10.579780221919295, 40.765001158347772, 112.99566532835608], [31.939394753306807, 169.58809296987533, 0, 0, 0], [10.579780221919295, 0, 7.879958360719509, 0, 18.063156493647512], [40.765001158347772, 0, 0, 72.87237992103333, 0], [112.99566532835608, 0, 18.063156493647512, 0, 371.1828545955654]]
10 	[-14.661953753271566, -7.747898340823898, -1.9316649395401022, -12.491025042022063, 5.1317960354779295] 	[[430.99801680350686, 113.63149150402778, 0, 141.97747267266513, 0], [113.63149150402778, 98.43024718491176, 0, 0, 0], [0, 0, 7.721168467490331, 0, 0], [141.97747267266513, 0, 0, 253.35891466324262, 52.092596891598802], [0, 0, 0, 52.092596891598802, 50.361094675879585]]
11 	[-6.735900749703973, -16.585075274948615, 11.966282232748902, 8.70695035702742, -5.383063182165124] 	[[54.6177158068599, 0, 0, 0, 0], [0, 583.5446165309993, 0, 0, 0], [0, 0, 102.6551026183934, 0, 37.937386375533677], [0, 0, 0, 143.54103729195018, 0], [0, 0, 37.937386375533677, 0, 49.135576222086506]]
12 	[4.063095815209799, 9.404062937422946, 10.363751107943852, -11.698169036760508, -1.468779084193418] 	[[17.173107006648998, 0, 0, 0, 0], [0, 50.80059998505793, 0, 0, 0], [0, 0, 60.667202393278835, 0, 0], [0, 0, 0, 250.66727785741404, 0], [0, 0, 0, 0, 3.497590889673834]]
13 	[18.731286214552263, -6.3251536722297, 8.773794652006092, -16.571820651199985, 14.940017663012902] 	[[261.92195119390703, 0, 0, 0, 0], [0, 35.72349317085675, 27.310638024678131, 0, 0], [0, 27.310638024678131, 96.40853428994275, 0, 0], [0, 0, 0, 357.992026626294, 0], [0, 0, 0, 0, 109.68274417389826]]
14 	[12.987116306462383, -9.922666836116635, -5.091466438292867, -11.785772202731804, 1.945047762141641] 	[[219.0396815661849, 0, 0, 0, 11.12049127457743], [0, 67.88956396796155, 0, 0, 0], [0, 0, 29.20101093122862, 0, 0], [0, 0, 0, 233.84779377582956, 0], [11.12049127457743, 0, 0, 0, 3.2437778567435815]]
