TypeID 	Mean Vector 	Cov Matrix
0 	[6.386824222787251, -13.006619971384046, 6.739358539112352, 16.410059588368284, 17.51624108177908] 	[[805.1374562687032, 1217.9752520013762, 0, 2033.6773148291161, 0], [1217.9752520013762, 3665.8222885988034, 0, 2958.2944988125482, 0], [0, 0, 308.5196450268107, 0, 1134.9624475154621], [2033.6773148291161, 2958.2944988125482, 0, 5253.4124967735515, 0], [0, 0, 1134.9624475154621, 0, 6534.962985856573]]
1 	[-16.39601229530226, 5.718438825232312, 16.895452421615943, -2.988198610892237, -13.242172860480458] 	[[4519.3353906476195, 0, 3692.9695728537126, 284.92232866993993, 0], [0, 271.0225049985511, 0, 0, 0], [3692.9695728537126, 0, 3834.2985664591347, 280.01591485708917, 0], [284.92232866993993, 0, 280.01591485708917, 26.737030401636115, 0], [0, 0, 0, 0, 4185.664527231644]]
2 	[-7.206213711806713, 7.5664834138645425, -8.091783408123788, -15.535792936201075, 18.396070717237585] 	[[996.2950330820025, 0, 719.42869654460469, 708.97483810074436, 0], [0, 1222.7336065579477, 0, 0, 2566.4535699605908], [719.42869654460469, 0, 1033.1164538719047, 0, 0], [708.97483810074436, 0, 0, 1389.1453088389537, 0], [0, 2566.4535699605908, 0, 0, 7329.740418118729]]
3 	[3.826656963369537, 18.048093105129198, 15.983037255763016, -14.234897762829139, -13.168351883826599] 	[[41.66330323785083, 0, 0, 129.31851030671299, 247.72594751329487], [0, 1353.1862828778785, 983.16001880691465, 0, 0], [0, 983.16001880691465, 888.1373614655087, 0, 0], [129.31851030671299, 0, 0, 489.99656434551093, 1049.8600480861267], [247.72594751329487, 0, 0, 1049.8600480861267, 2430.343538058648]]
4 	[-17.885602250867265, 18.366200075924, -17.904823445613484, 1.3779039101678805, 11.666124488853043] 	[[2142.19170550732, 0, 0, 196.91574249622323, 0], [0, 2608.6702334743613, 2004.22407442136, 0, 1173.8018423925432], [0, 2004.22407442136, 1847.5926303437786, 0, 920.14337412295743], [196.91574249622323, 0, 0, 21.402045168215526, 0], [0, 1173.8018423925432, 920.14337412295743, 0, 888.7430731582934]]
5 	[17.88347773786534, 12.518092566148319, -2.4426536783079307, 10.508386638761962, 4.263113548839421] 	[[1332.1360584142528, 0, 260.839031714111, 0, 0], [0, 2083.8242910816075, 0, 0, 0], [260.839031714111, 0, 95.7758089602389, 0, 0], [0, 0, 0, 1480.9606113242935, 402.84438596337066], [0, 0, 0, 402.84438596337066, 234.8785296078109]]
6 	[-4.231879881916726, 5.4992467279366934, -14.612567135030242, -17.343379334860245, -12.981311587986282] 	[[383.8168070169684, 0, 0, 0, 0], [0, 751.0010946116378, 1129.0676579165195, 1504.5933648012183, 775.60044161690212], [0, 1129.0676579165195, 2436.7745901621884, 2492.1240385455831, 1312.3576785403907], [0, 1504.5933648012183, 2492.1240385455831, 5653.189837461047, 2197.3740647792079], [0, 775.60044161690212, 1312.3576785403907, 2197.3740647792079, 1070.8211178065033]]
7 	[-11.536328681243532, -6.292756990483589, -9.870540583908866, -1.9173222638049694, 3.951053285128779] 	[[516.6991323558877, 0, 1019.6387437028224, 81.090898976336874, 325.31405258563905], [0, 305.4500176772005, 0, 0, 0], [1019.6387437028224, 0, 2210.632883721019, 204.21428226560133, 672.51578805019813], [81.090898976336874, 0, 204.21428226560133, 26.701845820474784, 56.58925658374843], [325.31405258563905, 0, 672.51578805019813, 56.58925658374843, 220.44388750687273]]
8 	[-15.34758505559452, 12.60678421319389, 17.1120629501915, 10.110295231842684, -17.70398820510536] 	[[3439.9071899752917, 0, 0, 0, 0], [0, 606.7775730148002, 766.59972508964654, 0, 0], [0, 766.59972508964654, 1716.3134444906398, 0, 0], [0, 0, 0, 445.70683395651275, 808.2866234953151], [0, 0, 0, 808.2866234953151, 3096.922204245349]]
9 	[7.812522270641409, -2.7567250329747175, -6.313261667653812, -9.449832542090881, 17.00929616089833] 	[[455.4325145173997, 248.07703395899199, 0, 0, 0], [248.07703395899199, 183.80604114982415, 0, 0, 0], [0, 0, 789.8650121949913, 895.63878617490775, 0], [0, 0, 895.63878617490775, 1671.5185945571116, 0], [0, 0, 0, 0, 3757.1925717118183]]
