TypeID 	Mean Vector 	Cov Matrix
0 	[-13.840125182747629, -13.415405430459206, 1.8107141509252038, -8.095161161812996, -7.45327847793931] 	[[851.1292360585575, 0, 0, 0, 0], [0, 994.8630184625467, 0, 0, 0], [0, 0, 61.42633563585535, 0, 0], [0, 0, 0, 1602.9622902029969, 0], [0, 0, 0, 0, 163.6649520304437]]
1 	[11.415898065786863, 15.14466703888867, 7.638271303966903, -2.084794223746158, 16.810823226621494] 	[[2713.827839783796, 0, 0, 0, 0], [0, 3170.682041145336, 0, 0, 0], [0, 0, 917.2558517287066, 0, 0], [0, 0, 0, 62.230929978826936, 0], [0, 0, 0, 0, 5497.909687856398]]
2 	[-18.984539883963354, -19.942340040660255, 2.4803382729217347, -16.00425303284625, -18.028101316892382] 	[[862.811684459755, 0, 0, 0, 0], [0, 7852.361934083278, 0, 0, 0], [0, 0, 16.362332970909385, 0, 0], [0, 0, 0, 1489.0198422347305, 0], [0, 0, 0, 0, 3514.3923560337685]]
3 	[-13.603461637988193, -18.369274561247504, -8.353563559250809, -0.21447234766651846, 2.668005458378264] 	[[4229.821553075173, 0, 0, 0, 0], [0, 910.9816841707799, 0, 0, 0], [0, 0, 732.1960615701553, 0, 0], [0, 0, 0, 0.19432858982643997, 0], [0, 0, 0, 0, 98.70312631211908]]
4 	[10.493882280531288, 19.40741187500148, -16.88196654041745, -4.567455620500482, -15.992092202568772] 	[[950.4736072477234, 0, 0, 0, 0], [0, 1486.2861970258868, 0, 0, 0], [0, 0, 4369.319419186815, 0, 0], [0, 0, 0, 265.3378069787738, 0], [0, 0, 0, 0, 4302.931771751885]]
5 	[13.389911543645766, 4.806898579469152, 10.380431219099712, -6.876765906077662, -5.8971338555741255] 	[[1137.9636768175187, 0, 0, 0, 0], [0, 361.20417220992607, 0, 0, 0], [0, 0, 2271.031857146835, 0, 0], [0, 0, 0, 185.76887555112697, 0], [0, 0, 0, 0, 100.6040823856285]]
6 	[-4.203795159312257, 6.067957468870755, -3.4923166194162896, 20.09669411848487, 16.178326751807028] 	[[237.1731530381274, 0, 0, 0, 0], [0, 363.16289850667073, 0, 0, 0], [0, 0, 92.17314234147652, 0, 0], [0, 0, 0, 3942.3653283353988, 0], [0, 0, 0, 0, 822.2354652319938]]
7 	[-3.569714323990624, -8.506458163489498, -15.828732062408006, -11.026770251968616, 16.224730320397704] 	[[130.73325041436664, 0, 0, 0, 0], [0, 913.5441884110621, 0, 0, 0], [0, 0, 5837.7049370338855, 0, 0], [0, 0, 0, 2120.280587454437, 0], [0, 0, 0, 0, 1568.274678030649]]
8 	[5.188070786231105, 16.16389193110269, 2.1659460143741995, -2.669503815993316, 16.802634755588905] 	[[118.43474854625389, 0, 0, 0, 0], [0, 6232.334566827077, 0, 0, 0], [0, 0, 38.007802543274394, 0, 0], [0, 0, 0, 33.264799907211234, 0], [0, 0, 0, 0, 3888.8451122717947]]
9 	[-17.832590594679274, 3.0097462638224926, -0.061084682508781185, -9.135539152336513, 12.991237461538503] 	[[4153.389498549718, 0, 0, 0, 0], [0, 78.66559084165519, 0, 0, 0], [0, 0, 0.05222318998693775, 0, 0], [0, 0, 0, 2064.9515611387087, 0], [0, 0, 0, 0, 618.7401877151984]]
10 	[15.419322824613545, -3.9806342528768823, 16.058377204045016, -8.273022916831959, 1.5978712518401998] 	[[3319.9790638436643, 0, 0, 0, 0], [0, 107.54245260825533, 0, 0, 0], [0, 0, 2213.0624605272606, 0, 0], [0, 0, 0, 1049.7155563129552, 0], [0, 0, 0, 0, 19.692876010043566]]
11 	[-2.4107428519799114, -17.268848178763893, 8.681211395754346, -15.42236123505855, 5.192603430823528] 	[[40.333670066757904, 0, 0, 0, 0], [0, 1197.0198712857675, 0, 0, 0], [0, 0, 773.2204525467694, 0, 0], [0, 0, 0, 3279.9061292775145, 0], [0, 0, 0, 0, 135.06799920099095]]
12 	[-12.184166575945886, 7.663422980236181, -2.6410566677355263, -3.0749376905159878, -10.615443607121081] 	[[344.2588995733457, 0, 0, 0, 0], [0, 242.46183932068664, 0, 0, 0], [0, 0, 27.204960798868775, 0, 0], [0, 0, 0, 81.25619037801972, 0], [0, 0, 0, 0, 2324.6000629117434]]
13 	[17.737469902972514, 12.267623553430504, 0.7352010558865416, 11.62270909650988, 2.0401150246976947] 	[[3470.140464268869, 0, 0, 0, 0], [0, 2104.3511306522278, 0, 0, 0], [0, 0, 13.31244343830423, 0, 0], [0, 0, 0, 3043.318532973515, 0], [0, 0, 0, 0, 44.59219867440099]]
14 	[19.418476629532584, 2.1982768919695843, -1.1854331521912762, 9.918443299144236, -3.3742588330084153] 	[[6112.712067698017, 0, 0, 0, 0], [0, 66.48461755029899, 0, 0, 0], [0, 0, 15.0087719079451, 0, 0], [0, 0, 0, 1483.7874603748742, 0], [0, 0, 0, 0, 194.9286726478411]]
15 	[0.43408076106011606, -6.180680523561868, 19.26632723089802, 17.057509603308596, 19.783000139288234] 	[[1.097009663892828, 0, 0, 0, 0], [0, 617.9547059704286, 0, 0, 0], [0, 0, 2214.0240925475364, 0, 0], [0, 0, 0, 2641.5733606163617, 0], [0, 0, 0, 0, 1099.774383427683]]
