TypeID 	Mean Vector 	Cov Matrix
0 	[-15.58398148308293, 15.493318654029345, 10.482263345631043, -3.6674484022337595, -19.76771397980416] 	[[3367.298836178462, 0, 0, 0, 0], [0, 5123.781488427018, 0, 0, 0], [0, 0, 2204.7780257033382, 0, 0], [0, 0, 0, 47.37004890830512, 0], [0, 0, 0, 0, 1318.326460994242]]
1 	[-3.912348755746592, 18.83223839904386, 12.603714858269406, 19.023779313768138, -13.619195381285671] 	[[41.17593155046349, 0, 0, 0, 0], [0, 1704.7545031785621, 0, 0, 0], [0, 0, 2310.156578552987, 0, 0], [0, 0, 0, 4591.995662853652, 0], [0, 0, 0, 0, 1929.6606388487419]]
2 	[-11.576424285553275, 6.7909477799303986, -5.230520450709035, -16.890138489652205, 7.332786099522465] 	[[2406.034643220242, 0, 0, 0, 0], [0, 879.7728422817041, 0, 0, 0], [0, 0, 128.94698467332472, 0, 0], [0, 0, 0, 2896.8740095092226, 0], [0, 0, 0, 0, 873.4168795740768]]
3 	[6.488531248707535, 1.8376550292670757, -2.9929924013288485, -14.353236759993312, 20.72635381113021] 	[[863.7540646344324, 0, 0, 0, 0], [0, 12.582171389821927, 0, 0, 0], [0, 0, 75.72306556748599, 0, 0], [0, 0, 0, 3266.254904844176, 0], [0, 0, 0, 0, 1410.6170423450826]]
4 	[-4.586514970684149, 13.372709744352285, -8.734735908248693, -12.305281347748416, 3.6691111647267896] 	[[170.55520018279404, 0, 0, 0, 0], [0, 1212.1464269860596, 0, 0, 0], [0, 0, 574.379631587081, 0, 0], [0, 0, 0, 3539.1744808430703, 0], [0, 0, 0, 0, 81.93001973971586]]
5 	[13.786293555551929, -15.981276931308509, -4.646036663812186, -6.517881729311892, 16.951833331795974] 	[[647.98925948993, 0, 0, 0, 0], [0, 2901.641638411447, 0, 0, 0], [0, 0, 202.64101830815713, 0, 0], [0, 0, 0, 735.3615383953133, 0], [0, 0, 0, 0, 4122.9784103453585]]
6 	[16.786001753758384, 10.593052425527588, 4.965008104092011, -14.497734943840166, -18.191258394138337] 	[[1188.0807639545733, 0, 0, 0, 0], [0, 515.0322960481169, 0, 0, 0], [0, 0, 277.1326381370887, 0, 0], [0, 0, 0, 4186.131473241106, 0], [0, 0, 0, 0, 7558.238474351043]]
7 	[-5.862915806706155, -19.547053622990752, 9.138826633090837, 8.92413621975983, 12.83415461435473] 	[[446.59741120641183, 0, 0, 0, 0], [0, 3518.5657660967927, 0, 0, 0], [0, 0, 602.2580397228917, 0, 0], [0, 0, 0, 814.6554728149439, 0], [0, 0, 0, 0, 3599.9691961180188]]
8 	[10.601082351515707, -12.437444812760965, -6.730931196063317, -1.4694865100203103, -20.249655782387418] 	[[1226.6692823746605, 0, 0, 0, 0], [0, 1598.0697427606904, 0, 0, 0], [0, 0, 746.0817010727119, 0, 0], [0, 0, 0, 13.36840896982568, 0], [0, 0, 0, 0, 5601.60977977352]]
9 	[-19.84257069596425, -14.399262157361433, 20.8486654160739, -2.49705534384254, 16.612948467474006] 	[[4563.650715650548, 0, 0, 0, 0], [0, 3928.374132318476, 0, 0, 0], [0, 0, 9451.1821783264, 0, 0], [0, 0, 0, 123.01294195110066, 0], [0, 0, 0, 0, 1752.1812960166383]]
10 	[-18.285675774811445, 4.899185687822026, -14.435944637911431, 18.255304233958327, -19.25959482684617] 	[[4753.629382399269, 0, 0, 0, 0], [0, 183.73060393943513, 0, 0, 0], [0, 0, 2767.20150966357, 0, 0], [0, 0, 0, 1712.6996367097397, 0], [0, 0, 0, 0, 1270.4856799739878]]
11 	[17.824252956023848, 7.333159184312983, 11.026209727048197, 19.883508604846618, -6.716545350873179] 	[[5424.122146104728, 0, 0, 0, 0], [0, 550.4458731330012, 0, 0, 0], [0, 0, 2896.6813154323922, 0, 0], [0, 0, 0, 5713.029935935371, 0], [0, 0, 0, 0, 877.7078958355855]]
12 	[9.412241973648708, -9.989583552202074, -19.632169925473747, 8.24522945101285, -13.455973069925713] 	[[1093.1261578960307, 0, 0, 0, 0], [0, 1213.0363818396966, 0, 0, 0], [0, 0, 1806.475501211929, 0, 0], [0, 0, 0, 1121.2011584278841, 0], [0, 0, 0, 0, 3770.312691253055]]
13 	[-2.1199486490307073, -13.07012160434399, 9.117543889693167, -12.94536450470424, -7.477241452232814] 	[[48.02083775001849, 0, 0, 0, 0], [0, 889.8905581346792, 0, 0, 0], [0, 0, 498.83585994210455, 0, 0], [0, 0, 0, 2490.115542648559, 0], [0, 0, 0, 0, 1041.2819857479853]]
14 	[9.031044424031606, 13.129323343074638, -8.798973867306927, 2.392438244247849, -6.9297343782358] 	[[854.1039366839619, 0, 0, 0, 0], [0, 853.265044738708, 0, 0, 0], [0, 0, 1535.9894738792168, 0, 0], [0, 0, 0, 34.32278423906887, 0], [0, 0, 0, 0, 653.4340076082962]]
15 	[7.271403766921264, -0.5362905965563414, 8.194136788928226, -20.087520965147842, 5.614108463265396] 	[[893.9775855341729, 0, 0, 0, 0], [0, 6.274172513913365, 0, 0, 0], [0, 0, 383.80215047132566, 0, 0], [0, 0, 0, 1034.7508035602175, 0], [0, 0, 0, 0, 152.68096408625107]]
