TypeID 	Mean Vector 	Cov Matrix
0 	[-4.248916763794426, 17.651003206487154, 14.728839561620333, 2.313577457145918, -6.489386872316105] 	[[34.24956347706133, 0, 0, 0, 0], [0, 133.19965687471915, 0, 0, 0], [0, 0, 104.62291668904813, 0, 0], [0, 0, 0, 4.089788479782821, 0], [0, 0, 0, 0, 46.75782503292191]]
1 	[14.869887290499868, -0.3080386404908708, 1.263097124669855, -0.34839566495577046, -13.756865163330025] 	[[225.56715237087423, 0, 0, 0, 0], [0, 0.08603706436222279, 0, 0, 0], [0, 0, 3.513781154513639, 0, 0], [0, 0, 0, 0.07205128675288149, 0], [0, 0, 0, 0, 181.57397260809412]]
2 	[-17.4813689172505, 17.369402742624963, 19.19014034409475, -14.925195166651775, -11.813508730800104] 	[[479.1345220145819, 0, 0, 0, 0], [0, 154.63155559061718, 0, 0, 0], [0, 0, 190.49059784961352, 0, 0], [0, 0, 0, 231.20992172289598, 0], [0, 0, 0, 0, 298.78182371143726]]
3 	[13.143610839768087, -5.310812087049159, -12.678614699891698, -6.903037578586003, 18.969047175898574] 	[[222.17824558441094, 0, 0, 0, 0], [0, 21.341527807076268, 0, 0, 0], [0, 0, 279.89570862206494, 0, 0], [0, 0, 0, 28.598982874149026, 0], [0, 0, 0, 0, 757.6019517583204]]
4 	[5.3105861042942415, 8.900832522416184, 18.335728150363636, 9.156513056321728, 4.286328909031511] 	[[51.84707699308301, 0, 0, 0, 0], [0, 111.04221497790184, 0, 0, 0], [0, 0, 146.7091845862485, 0, 0], [0, 0, 0, 159.64820259110212, 0], [0, 0, 0, 0, 26.93864159172526]]
5 	[-2.626245276914382, 7.7624710055335235, -16.318886037504996, 9.570874704411736, 14.317878467010395] 	[[7.1985268421815745, 0, 0, 0, 0], [0, 40.78225574509774, 0, 0, 0], [0, 0, 391.15457306637256, 0, 0], [0, 0, 0, 156.69984166936385, 0], [0, 0, 0, 0, 193.37098796855994]]
6 	[-12.871036265275567, -7.4221591900441215, 14.635019966554744, -14.896398478782405, 15.18041229736857] 	[[166.13393151365756, 0, 0, 0, 0], [0, 26.411325327380165, 0, 0, 0], [0, 0, 259.6320414899679, 0, 0], [0, 0, 0, 97.20774060258654, 0], [0, 0, 0, 0, 208.93924853198956]]
7 	[17.613559947586516, -15.65570868122311, 3.9880874382106164, -16.028432404091593, -7.609083409849148] 	[[456.48504207973764, 0, 0, 0, 0], [0, 216.9912733206762, 0, 0, 0], [0, 0, 7.695566229943031, 0, 0], [0, 0, 0, 96.12913629149347, 0], [0, 0, 0, 0, 37.91063009450849]]
8 	[5.258856052064235, 10.389169603547415, -0.8091846370061475, -18.356849763373358, 6.518053474395327] 	[[13.053379758980073, 0, 0, 0, 0], [0, 228.17927884282437, 0, 0, 0], [0, 0, 1.0808311708581173, 0, 0], [0, 0, 0, 675.2369796024374, 0], [0, 0, 0, 0, 45.38342615832993]]
9 	[-20.06403328974821, 12.218085818864452, -11.876276735910993, -19.00453482780701, 9.171142523201993] 	[[397.4915747171121, 0, 0, 0, 0], [0, 174.35522330972356, 0, 0, 0], [0, 0, 123.0345020669274, 0, 0], [0, 0, 0, 725.9592886828351, 0], [0, 0, 0, 0, 100.1582648521494]]
10 	[-16.697854763690984, -16.105224514826705, 8.40335050909917, -2.0130941799504285, 20.816503383359652] 	[[332.97609139422923, 0, 0, 0, 0], [0, 232.1956864154197, 0, 0, 0], [0, 0, 41.830274253743724, 0, 0], [0, 0, 0, 6.532155942211086, 0], [0, 0, 0, 0, 168.60452663013982]]
11 	[11.945440225524855, -6.047847210344969, 17.46456290210162, -2.5237502028439707, -7.203510437376414] 	[[89.5293375862981, 0, 0, 0, 0], [0, 75.0152827341534, 0, 0, 0], [0, 0, 646.8417431534159, 0, 0], [0, 0, 0, 11.69517200105816, 0], [0, 0, 0, 0, 49.62671306178926]]
12 	[-0.9110996600789569, -0.378619192646088, 19.124534139101215, -16.606022761521015, 12.823330797522672] 	[[1.2124444034595827, 0, 0, 0, 0], [0, 0.09521886057341754, 0, 0, 0], [0, 0, 323.9642529260873, 0, 0], [0, 0, 0, 540.7224600696323, 0], [0, 0, 0, 0, 170.84352755360797]]
13 	[-19.714120108718504, 9.848179620443318, 2.130215702234352, -17.84760330676589, 19.729956317051446] 	[[191.89210850171145, 0, 0, 0, 0], [0, 128.85628990572405, 0, 0, 0], [0, 0, 9.491779915069557, 0, 0], [0, 0, 0, 695.7170429776936, 0], [0, 0, 0, 0, 372.167110337968]]
14 	[8.476440077985806, 13.603257946342318, -16.398300879374375, -13.808355803702149, 18.40096280046493] 	[[149.79034220216687, 0, 0, 0, 0], [0, 391.26013169414114, 0, 0, 0], [0, 0, 107.4672286722275, 0, 0], [0, 0, 0, 247.93029791090188, 0], [0, 0, 0, 0, 229.80895009742648]]
15 	[12.74194396030412, -10.056876939757446, 13.188541028530594, 11.770898968557773, 5.006320150041361] 	[[65.51890670663144, 0, 0, 0, 0], [0, 186.40119965724992, 0, 0, 0], [0, 0, 227.24121963573663, 0, 0], [0, 0, 0, 97.22961769452566, 0], [0, 0, 0, 0, 37.45197550392399]]
