TypeID 	Mean Vector 	Cov Matrix
0 	[14.144255513665343, -17.791082227813998, -6.337414764640162, -9.62854629286925, 13.440704471215547] 	[[95.85291942666102, 124.28300655787325, 62.844001458280054, 128.90807411562648, 97.603887242322656], [124.28300655787325, 208.99698769569548, 82.148465717608715, 151.38887300025428, 108.4696986872863], [62.844001458280054, 82.148465717608715, 55.186165331390896, 94.623057710928492, 54.172904921206268], [128.90807411562648, 151.38887300025428, 94.623057710928492, 202.78966886306935, 141.35850304013209], [97.603887242322656, 108.4696986872863, 54.172904921206268, 141.35850304013209, 135.19740623460788]]
1 	[-18.621983153438457, 11.087605912415349, -0.1376764845608598, -16.288113947764955, 17.34312105170109] 	[[595.2833264652655, 115.8173354135801, 3.7726620754929638, 198.34226084784046, 333.02943683165466], [115.8173354135801, 56.59096877209221, 1.3853961760755755, 49.492208176763249, 94.407680593978753], [3.7726620754929638, 1.3853961760755755, 0.03975958399395656, 1.3189103558171678, 2.7318068952831207], [198.34226084784046, 49.492208176763249, 1.3189103558171678, 104.31221116187352, 98.69176073426334], [333.02943683165466, 94.407680593978753, 2.7318068952831207, 98.69176073426334, 231.27416837344109]]
2 	[-18.669261426184633, 15.795892116724318, 14.564303038554776, -12.894305932240782, 12.121303736976053] 	[[770.434888039543, 265.00013479575176, 338.27775727564841, 369.53959184572841, 160.59205412571427], [265.00013479575176, 97.17449937325762, 142.42136380092634, 131.96473186960932, 67.842121971615285], [338.27775727564841, 142.42136380092634, 316.0604066277392, 203.84246796159434, 153.99470056626117], [369.53959184572841, 131.96473186960932, 203.84246796159434, 200.8493127078306, 92.298608681508455], [160.59205412571427, 67.842121971615285, 153.99470056626117, 92.298608681508455, 80.82302972231976]]
3 	[-16.959809677584925, 0.2922832823348145, -19.72644288737976, -3.21709422336156, 14.61356202388719] 	[[255.86989352584516, 2.734412482456567, 342.49275899108602, 42.133224699486078, 302.25213714858643], [2.734412482456567, 0.04567070463406644, 4.5824333086075981, 0.57407300167870923, 3.2010210615437025], [342.49275899108602, 4.5824333086075981, 823.5016019412298, 58.4158192115341, 451.85171211602625], [42.133224699486078, 0.57407300167870923, 58.4158192115341, 9.0193191773106, 43.426814209178765], [302.25213714858643, 3.2010210615437025, 451.85171211602625, 43.426814209178765, 437.6092602356442]]
4 	[4.448292563704417, 16.175574969378594, 14.880794190935106, 11.14803968031206, -7.722911747785515] 	[[38.3328839600191, 49.820128116130597, 94.545429216075817, 53.669045503802849, 38.393016384288394], [49.820128116130597, 110.98555790974726, 170.44922807003547, 100.7813402771512, 77.165789519974197], [94.545429216075817, 170.44922807003547, 338.85440088351976, 162.43729895910258, 129.81229994364568], [53.669045503802849, 100.7813402771512, 162.43729895910258, 108.71734064335438, 77.182778547573264], [38.393016384288394, 77.165789519974197, 129.81229994364568, 77.182778547573264, 91.97365116078127]]
5 	[-7.947958993053247, -10.412346778240805, -19.953171184489488, -11.870870885746758, -18.66314978564728] 	[[27.013285322397035, 53.42751339202853, 79.529345530274185, 50.890247818783479, 49.508962454479203], [53.42751339202853, 229.96995505383504, 205.93718543013071, 167.81496864765995, 156.67181778730691], [79.529345530274185, 205.93718543013071, 309.44542970512464, 171.51679445725958, 193.79191339932765], [50.890247818783479, 167.81496864765995, 171.51679445725958, 211.2849144358749, 148.11191918451797], [49.508962454479203, 156.67181778730691, 193.79191339932765, 148.11191918451797, 155.1719474050118]]
6 	[15.656474045349974, 18.17360951093321, -3.5512611613028646, 10.324071717847346, -2.283439819057371] 	[[507.24750610413196, 394.792744558035, 38.582904952840494, 129.3678055106393, 59.215654310801682], [394.792744558035, 727.4551686109281, 44.107772585340399, 166.12557373827102, 85.700960618117051], [38.582904952840494, 44.107772585340399, 4.901843552577745, 11.018318039655973, 6.7473663023996142], [129.3678055106393, 166.12557373827102, 11.018318039655973, 48.93854046379838, 21.515275136903544], [59.215654310801682, 85.700960618117051, 6.7473663023996142, 21.515275136903544, 11.364378015827045]]
7 	[16.50804903174489, 10.463766618632103, -6.884340623712191, -8.452139887745133, 1.3553858065312738] 	[[243.36405638514927, 138.01123764818394, 57.717395109978909, 73.490291538284893, 10.824543089434783], [138.01123764818394, 108.91714764616506, 48.542112657403827, 42.498043464565434, 8.7583837718629347], [57.717395109978909, 48.542112657403827, 24.02769740354268, 21.063569771451395, 4.0871041270492219], [73.490291538284893, 42.498043464565434, 21.063569771451395, 43.20252555348809, 5.4910773967294073], [10.824543089434783, 8.7583837718629347, 4.0871041270492219, 5.4910773967294073, 1.0796424463470615]]
8 	[8.844170574745405, -0.5736828544813868, -3.248656204548695, 7.841481906132255, -4.558397480793946] 	[[93.32827296593842, 3.6806252931650754, 35.340500713628408, 32.690198342598499, 40.593130059113079], [3.6806252931650754, 0.3440424977384942, 2.097182890536724, 2.6330630434682325, 2.2053573546705905], [35.340500713628408, 2.097182890536724, 16.711895539465978, 18.618488706761852, 16.667447463775698], [32.690198342598499, 2.6330630434682325, 18.618488706761852, 24.339331691390807, 18.420516509959473], [40.593130059113079, 2.2053573546705905, 16.667447463775698, 18.420516509959473, 25.27983493572235]]
9 	[5.733015016924419, -18.052453972906598, 10.665675898315257, -1.2789109180838665, 8.409272149651642] 	[[47.00749443304939, 110.76443910674666, 73.800263530003164, 0, 51.969859270259072], [110.76443910674666, 488.51521208327904, 210.07021037265153, 0, 164.63580281588736], [73.800263530003164, 210.07021037265153, 184.81029437645432, 0, 123.83612432418371], [0, 0, 0, 1.1718926706701525, 0], [51.969859270259072, 164.63580281588736, 123.83612432418371, 0, 88.51941972248605]]
10 	[0.4440041250273161, -5.359765688687492, -0.9785632525040207, 16.7218483917716, 10.372514901781202] 	[[0.16243955626111273, 1.9359943291339303, 0.39227292653384827, 3.6786837160725967, 2.4977859480679836], [1.9359943291339303, 35.83861795338964, 6.3313081560592526, 44.810906947086593, 47.457389415587123], [0.39227292653384827, 6.3313081560592526, 1.46652341394664, 8.5812950145126088, 9.0334618891387386], [3.6786837160725967, 44.810906947086593, 8.5812950145126088, 102.85846150177932, 64.01599386202065], [2.4977859480679836, 47.457389415587123, 9.0334618891387386, 64.01599386202065, 87.18004163007163]]
11 	[-8.742099937344324, 9.22632486187154, -6.279014171144675, -16.474816023673046, 4.095752946938767] 	[[122.21918139091076, 80.500320189858314, 67.367712735745897, 140.63524193308587, 53.490435715117954], [80.500320189858314, 116.89382960424207, 52.30216656901662, 135.48279781113303, 46.117093668352808], [67.367712735745897, 52.30216656901662, 43.61258662961515, 96.827818706588914, 37.76963003866571], [140.63524193308587, 135.48279781113303, 96.827818706588914, 276.8063315469208, 86.57791530177515], [53.490435715117954, 46.117093668352808, 37.76963003866571, 86.57791530177515, 36.56862652104583]]
12 	[20.07103685152378, 18.877046246168696, -12.524473187172177, -15.901318060910796, -10.87490870047269] 	[[506.21526548101735, 550.28807309766876, 163.87123059947544, 262.84675672979733, 241.03343387156775], [550.28807309766876, 745.5693942596416, 233.93663983128903, 356.5349405748529, 322.07923106644353], [163.87123059947544, 233.93663983128903, 141.43948818756553, 195.27329183275648, 167.20843732267107], [262.84675672979733, 356.5349405748529, 195.27329183275648, 331.2090443500292, 272.37046929037649], [241.03343387156775, 322.07923106644353, 167.20843732267107, 272.37046929037649, 256.762136504455]]
13 	[-1.1091033895737894, 19.512500581546774, -20.66537594801257, 8.535078248551514, 10.786852819193005] 	[[0.7208776644673647, 12.15209059650654, 14.297527129767094, 4.5576056059182415, 10.361210963880328], [12.15209059650654, 426.400897704117, 324.95308817890719, 140.66359846333049, 183.92686198682486], [14.297527129767094, 324.95308817890719, 396.2533542933959, 130.6722941581462, 232.25405878822113], [4.5576056059182415, 140.66359846333049, 130.6722941581462, 79.38571149879984, 102.13606275955286], [10.361210963880328, 183.92686198682486, 232.25405878822113, 102.13606275955286, 189.72654446814093]]
14 	[8.8435683330747, -18.4936046669117, 9.94656420247373, 4.319276552322435, -0.7871175843563272] 	[[57.92196637585411, 187.48498956320819, 82.845621594101573, 34.318292835948178, 4.5469786679965862], [187.48498956320819, 752.7922825498416, 353.91411908861755, 130.31526276797291, 17.153222790849043], [82.845621594101573, 353.91411908861755, 173.24786192102468, 59.379910871888619, 8.001361085162662], [34.318292835948178, 130.31526276797291, 59.379910871888619, 34.89364238759266, 5.1778757932116406], [4.5469786679965862, 17.153222790849043, 8.001361085162662, 5.1778757932116406, 0.9010434368544813]]
15 	[-10.803636171138997, -12.791426087944801, -3.583273711694762, 16.63893954506245, 5.30646720402423] 	[[234.8328770736913, 92.770168270312752, 28.196274490398551, 199.87167026939881, 67.422325342008435], [92.770168270312752, 82.88933726307404, 18.068365995589261, 86.542478842592345, 54.985833647578993], [28.196274490398551, 18.068365995589261, 8.571256222517336, 31.83738483427069, 13.140277124468309], [199.87167026939881, 86.542478842592345, 31.83738483427069, 201.83891481003454, 75.060326433330118], [67.422325342008435, 54.985833647578993, 13.140277124468309, 75.060326433330118, 50.39765648646411]]
