TypeID 	Mean Vector 	Cov Matrix
0 	[-9.31732546025971, 6.683985554157356, -11.867044313201275, -20.252931702559877, 8.029342982078592] 	[[15.741798068571116, 0, 20.547292076411459, 0, 0], [0, 14.173744077847068, 0, 0, 0], [20.547292076411459, 0, 30.74338005165922, 0, 0], [0, 0, 0, 20.59080738335449, 0], [0, 0, 0, 0, 14.943203758053992]]
1 	[7.89189881159059, -9.858613494303112, 18.70842840122944, 18.807333015649597, 18.679372159701465] 	[[13.97389452449903, 0, 0, 0, 40.299820272288606], [0, 7.106340701536396, 14.780299015230263, 0, 0], [0, 14.780299015230263, 53.459035228183694, 0, 0], [0, 0, 0, 23.490378410795387, 0], [40.299820272288606, 0, 0, 0, 120.77770645239622]]
2 	[-10.991361075026072, 6.532941588567041, -17.216202593912115, 7.525372449165488, 4.7433498653719255] 	[[11.585509961517246, 0, 0, 0, 0], [0, 4.866651132546734, 0, 0, 0], [0, 0, 80.42530917832813, 0, 0], [0, 0, 0, 18.45723171815102, 0], [0, 0, 0, 0, 4.521177242865306]]
3 	[-9.457700333756245, -12.07560226897122, -12.01992415374834, 7.7999608808571566, -3.9313216599995116] 	[[19.207967279794545, 0, 0, 0, 0], [0, 21.046389888700077, 10.536885739575299, 0, 0], [0, 10.536885739575299, 6.257975923259803, 0, 0], [0, 0, 0, 5.947612089857604, 0], [0, 0, 0, 0, 4.777941368344156]]
4 	[-15.356866586274409, -9.064831980100246, -8.680745841152676, 5.98915283858646, 9.918550785825751] 	[[48.390224154258405, 0, 12.018022658046773, 0, 0], [0, 11.554708864061604, 0, 0, 6.9553447810235767], [12.018022658046773, 0, 5.737361505558562, 0, 0], [0, 0, 0, 8.504145949888517, 0], [0, 6.9553447810235767, 0, 0, 5.700607755023402]]
5 	[19.212461293441088, -7.199681084378877, -3.542899024559972, 8.342638333353428, 0.1677660888900725] 	[[128.37911137024386, 0, 0, 0, 0.81058251676058135], [0, 16.417078348216936, 0, 0, 0], [0, 0, 4.467948845936051, 0, 0], [0, 0, 0, 8.879975453200695, 0], [0.81058251676058135, 0, 0, 0, 0.00842045640807316]]
6 	[19.704437776958656, -12.766400509585521, -12.216103102106093, 3.8989724142480036, -3.5862749823297193] 	[[98.72112375689095, 0, 20.580855985428606, 0, 0], [0, 41.71607335279872, 0, 0, 0], [20.580855985428606, 0, 6.259446371475776, 0, 0], [0, 0, 0, 2.528176514036912, 0], [0, 0, 0, 0, 0.8552283170276728]]
7 	[-14.186219917016894, -13.695697231896848, 12.472609738471476, -11.050097553914082, -20.60679310157664] 	[[23.4670557812485, 0, 0, 0, 0], [0, 25.38330562333795, 15.591948244494843, 0, 0], [0, 15.591948244494843, 16.620312105219018, 0, 0], [0, 0, 0, 18.85304919611736, 0], [0, 0, 0, 0, 108.94332706634194]]
8 	[-3.4289276698464306, -7.006368948363161, -0.6538070841347334, 13.792671378989084, -5.352416270506033] 	[[1.0112978024128643, 0, 0, 4.6709390007377865, 0], [0, 9.633297743533944, 0, 0, 0], [0, 0, 0.04396855651788899, 0, 0], [4.6709390007377865, 0, 0, 21.929662310542636, 0], [0, 0, 0, 0, 1.5211087134359271]]
9 	[-20.253799171075872, 0.4547503853341297, -20.794155734296385, 17.075977225911764, -5.66893732822888] 	[[42.422567317945386, 0, 0, 0, 0], [0, 0.013490980069566753, 0, 0, 0], [0, 0, 61.99265454135014, 0, 16.176895856828963], [0, 0, 0, 13.659257771730285, 0], [0, 0, 16.176895856828963, 0, 4.877082496247727]]
10 	[17.020730245470276, -5.868420262351915, 14.11026294909535, -7.3674203591923515, -14.857372451710571] 	[[14.986177670301725, 0, 0, 0, 0], [0, 1.751080301195133, 0, 0, 0], [0, 0, 69.45614641484138, 0, 0], [0, 0, 0, 16.495046459351265, 0], [0, 0, 0, 0, 67.2936672982806]]
11 	[-16.334500002109564, 17.937498606677494, 9.464279317060942, -10.222660888951356, 12.119208970371027] 	[[28.736379300146634, 0, 0, 0, 0], [0, 26.981843395922116, 0, 0, 0], [0, 0, 26.27475676884674, 0, 0], [0, 0, 0, 25.20472221308799, 24.437654460628007], [0, 0, 0, 24.437654460628007, 50.85290326362352]]
12 	[-14.80374057533415, -0.3853443752168495, -9.04238064566817, -8.43181081821086, 11.890007730690698] 	[[17.642671979101493, 0, 13.458661205188493, 0, 0], [0, 0.041950193739183204, 0, 0, 0.8997487193128263], [13.458661205188493, 0, 11.353590808703238, 0, 0], [0, 0, 0, 3.833393854647875, 0], [0, 0.8997487193128263, 0, 0, 20.624375032275434]]
13 	[15.260103372874148, 15.458089349109649, -6.198565155268636, -4.773960370916022, 9.933314940489485] 	[[45.85875546925562, 0, 0, 0, 0], [0, 31.9048645528928, 0, 0, 0], [0, 0, 8.806919809229306, 0, 0], [0, 0, 0, 2.4825043294108817, 3.4714758642618002], [0, 0, 0, 3.4714758642618002, 6.045846673758305]]
14 	[-14.009204878098217, 5.89807176453699, -18.612118429331172, -13.735397962161787, -3.160844461766004] 	[[37.27837924945645, 0, 41.425521378296047, 0, 0], [0, 8.77933930726571, 20.63098492835676, 0, 0], [41.425521378296047, 20.63098492835676, 116.18059371948023, 0, 0], [0, 0, 0, 65.0896604303187, 0], [0, 0, 0, 0, 0.7430384849865272]]
15 	[5.803629108070535, -11.296660286372292, -9.351126068037487, 16.88184515424974, -8.117533443623348] 	[[7.573529705783212, 5.0672582920765752, 0, 0, 0], [5.0672582920765752, 6.938935150680262, 0, 0, 0], [0, 0, 5.524173880461743, 0, 6.0843249931079235], [0, 0, 0, 45.78688911868903, 0], [0, 0, 6.0843249931079235, 0, 10.403556915419609]]
