TypeID 	Mean Vector 	Cov Matrix
0 	[-14.685171975106794, 19.733110026621667, 8.100766053492666, -2.782929413647871, 13.163989512282157] 	[[44.766854903414284, 0, 0, 2.5113369355074813, 0], [0, 138.95498511600766, 0, 0, 19.524585074938713], [0, 0, 9.069546656592449, 0, 9.3340455609787725], [2.5113369355074813, 0, 0, 0.9233680619532393, 0], [0, 19.524585074938713, 9.3340455609787725, 0, 38.67945946964291]]
1 	[-14.931064056736684, 14.745741393407187, 1.6637546285466591, -1.9328761577643903, -2.7160546332813773] 	[[73.59224441065, 20.718184845966, 0.99458589040590994, 0, 0], [20.718184845966, 50.62020108872761, 0, 0, 0], [0.99458589040590994, 0, 0.1554741262662103, 0, 0], [0, 0, 0, 1.0297878180598883, 0], [0, 0, 0, 0, 2.489836040365122]]
2 	[17.166713199353048, -4.785640768967845, -16.816336517086807, -5.081809289659471, -9.402151398919518] 	[[69.72336549883087, 0, 0, 0, 0], [0, 4.741212985826697, 0, 0, 0], [0, 0, 53.11747050229948, 0, 0], [0, 0, 0, 6.5963450111211825, 0], [0, 0, 0, 0, 12.460979292408155]]
3 	[2.548263086799789, 3.0818177645632403, -2.982777169467063, 0.07637206526627693, 18.35107838444067] 	[[0.752935596006922, 0, 0.4941571520141762, 0, 0], [0, 2.0146167041233127, 0, 0.0084060556557209332, 1.6777250265971986], [0.4941571520141762, 0, 2.408280758377409, 0, 0], [0, 0.0084060556557209332, 0, 0.0004496462895818456, 0.036778556350847036], [0, 1.6777250265971986, 0, 0.036778556350847036, 16.92316109897797]]
4 	[-10.133780297647258, -1.1356863894342801, 11.4855784836639, -18.870382251457265, 0.6252739570017312] 	[[9.966693303594015, 0, 3.5484605732418153, 0, 0], [0, 0.11706330891166544, 0, 0, 0], [3.5484605732418153, 0, 7.201936106965427, 0, 0], [0, 0, 0, 62.386656487112454, 0], [0, 0, 0, 0, 0.1299330622463711]]
5 	[11.023286155936916, 12.27256146407597, 18.900055061519588, 12.406097664354888, -17.35950935298647] 	[[15.028843318378536, 10.365849252673222, 0, 0, 0], [10.365849252673222, 28.79007184941042, 0, 0, 0], [0, 0, 86.04887711240721, 0, 0], [0, 0, 0, 12.646305617376036, 7.0100065083928813], [0, 0, 0, 7.0100065083928813, 28.9354372333993]]
6 	[-4.848046514149278, 20.177131107786465, 7.131084684054166, 2.1802942897721636, -10.76770672289525] 	[[5.04312396072611, 0, 0, 0, 0], [0, 54.09210761227848, 0, 0, 0], [0, 0, 9.63348294219003, 1.1560067279060335, 0], [0, 0, 1.1560067279060335, 1.2076668564507431, 0], [0, 0, 0, 0, 8.04738822321448]]
7 	[-15.455122091925187, -5.525476852686008, 14.770144113271137, -8.55485187903839, 20.34250268313916] 	[[33.21031702002719, 8.9967139943488394, 8.9161160644297883, 0, 0], [8.9967139943488394, 8.494793708597177, 0, 0, 0], [8.9161160644297883, 0, 12.267445874355232, 0, 0], [0, 0, 0, 14.686415316906633, 0], [0, 0, 0, 0, 36.73878769226875]]
8 	[10.088613603313352, 17.55040399603486, -19.831274148401477, 18.90648301515784, -14.946278901377436] 	[[23.04658724668865, 0, 19.626921770112638, 0, 9.8614402211636172], [0, 56.11133581173908, 0, 0, 0], [19.626921770112638, 0, 139.12968366846022, 0, 0], [0, 0, 0, 53.2509377833219, 0], [9.8614402211636172, 0, 0, 0, 18.807682539031344]]
9 	[2.80444455946326, -15.669982141085391, -11.737990102546338, -20.894739095348516, 8.470954168599306] 	[[2.48969465254078, 0, 1.7088547675940464, 0, 0.95948372701237461], [0, 54.56467462094043, 0, 0, 0], [1.7088547675940464, 0, 10.506544568129874, 6.933831262352264, 0], [0, 0, 6.933831262352264, 37.74280887047944, 0], [0.95948372701237461, 0, 0, 0, 5.062411044721578]]
10 	[-0.07084915649816992, -3.1052887052601434, -16.15092707053095, -18.04085234132279, 0.8177456828460912] 	[[0.0010562530396623713, 0, 0, 0, 0], [0, 2.2492412871761895, 0, 0, 0], [0, 0, 41.2436412223902, 0, 1.4478684612025774], [0, 0, 0, 102.55993132797948, 0], [0, 0, 1.4478684612025774, 0, 0.20017696572906224]]
